"","x"
"A","2.5"
"B","3.5"
"C","4"
"D","4.5"
"E","5"
"F","5.5"
"G","6"
"H","6.5"
"I","7"
"J","7.5"
"K","8"
"L","8.5"
"M","9"
"N","9.5"
"O","10"
"P","10.5"
"Q","11"
"R","11.5"
"S","12"
"T","12.5"
"U","13"
"V","13.5"
"W","14"
"X","14.5"
"Y","15"
"Z","15.5"
"AB","16.5"
"AC","17"
"AD","17.5"
"AE","18"
"AF","18.5"
"AG","19"
"AH","19.5"
"AI","20"
"AJ","20.5"
"AK","21"
"AL","21.5"
"AM","22"
"AN","22.5"
"AO","23"
"AP","23.5"
"AQ","24"
"AR","24.5"
"AS","25"
"AT","25.5"
"AU","26"
"AV","26.5"
"AW","27"
"AX","27.5"
"AY","28"
"AZ","28.5"
"BC","29"
"BD","29.5"
"BE","30"
"BF","30.5"
"BG","31"
"BH","31.5"
"BI","32"
"BJ","32.5"
"BK","33"
"BL","33.5"
"BM","34"
"BN","34.5"
"BO","35"
"BP","35.5"
"BQ","36"
"BR","36.5"
"BS","37"
"BT","37.5"
"BU","38"
"BV","38.5"
"BW","39"
"BX","39.5"
"BY","40"
"BZ","40.5"
"CD","41"
"CE","41.5"
"CF","42"
"CG","42.5"
"CH","43"
"CI","43.5"
"CJ","44"
"CK","44.5"
"CL","45"
"CM","45.5"
"CN","46"
"CO","46.5"
"CP","47"
"CQ","47.5"
"CR","48"
"CS","48.5"
"CT","49"
"CU","49.5"
"CV","50"
"CW","50.5"
"CX","51"
"CY","51.5"
"CZ","52"
"DE","52.5"
"DF","53"
"DG","53.5"
"DH","54"
"DI","54.5"
"DJ","55"
"DK","55.5"
"DL","56"
"DM","56.5"
"DN","57"
"DO","57.5"
"DP","58"
"DQ","58.5"
"DR","59"
"DS","59.5"
"DT","60"
"DU","60.5"
"DV","61"
"DW","61.5"
"DX","62"
"DY","62.5"
"DZ","63"
"EF","63.5"
"EG","64"
"EH","64.5"
"EI","65"
"EJ","65.5"
"EK","66"
"EL","66.5"
"EM","67"
"EN","67.5"
"EO","68"
"EP","68.5"
"EQ","69.5"
"ER","70"
"ES","70.5"
"ET","71"
"EU","71.5"
"EV","72.5"
"EW","73.5"
"EX","74.5"
"EY","75"
"EZ","75.5"
"FG","76"
"FH","77"
"FI","78"
"FJ","78.5"
"FK","79"
"FL","79.5"
"FM","82"
"FN","84.5"
"FO","86"
"FP","86.5"
"FQ","90.5"
"FR","94"
"FS","94.5"
"FT","98.5"
"FU","106.5"
"FV","326.5"
"FW","457"
"FX","629"
"FY","704"
"FZ","727.5"
"GH","735.5"
"GI","742.5"
"GJ","753"
"GK","782"
"GL","814"
"GM","836"
"GN","870"
"GO","870.5"
"GP","924"
"GQ","1087"
"GR","1094.5"
"GS","1188.5"
"GT","1203.5"
"GU","1207"
"GV","1290"
"GW","1317.5"
"GX","1384"
"GY","1414.5"
"GZ","1442.5"
"HI","1486"
"HJ","1532"
"HK","1534"
"HL","1551.5"
"HM","1556.5"
"HN","1568.5"
"HO","1578.5"
"HP","1629.5"
"HQ","1652.5"
"HR","1662.5"
"HS","1705.5"
"HT","1720"
"HU","1760"
"HV","1794"
"HW","1818.5"
"HX","1846"
"HY","1894.5"
"HZ","1925"
"IJ","1952"
"IK","1954"
"IL","1989.5"
"IM","2009.5"
"IN","2032"
"IO","2053.5"
"IP","2110.5"
"IQ","2119"
"IR","2154.5"
"IS","2186"
"IT","2193"
"IU","2205.5"
"IV","2214"
"IW","2217"
"IX","2218.5"
"IY","2256"
"IZ","2270"
"JK","2298.5"
"JL","2325"
"JM","2365.5"
"JN","2391.5"
"JO","2396"
"JP","2506.5"
"JQ","2619.5"
"JR","2760"
"JS","2841.5"
"JT","2966"
"JU","2994"
"JV","3032"
"JW","3120"
"JX","3283.5"
"JY","3287"
"JZ","3424.5"
"KL","3480.5"
"KM","3483"
"KN","3499.5"
"KO","3505.5"
"KP","3583.5"
"KQ","3607.5"
"KR","3761.5"
"KS","3898.5"
"KT","4056"
"KU","4147"
"KV","4164"
"KW","4225"
"KX","4447"
"KY","4460.5"
"KZ","4533"
"LM","4658.5"
"LN","4699.5"
"LO","4718.5"
"LP","4792"
"LQ","4899.5"
"LR","5095.5"
"LS","5715.5"
"LT","6640.5"
"LU","6673"
"LV","7073.5"
"LW","7493"
"LX","9976"
"LY","10585.5"
"LZ","22030.5"
"MN","23202"
"MO","23608"
"MP","24129.5"
"MQ","24169"
"MR","24533.5"
"MS","25342.5"
"MT","25589.5"
"MU","26170.5"
"MV","26833.5"
"MW","27233.5"
"MX","27289.5"
"MY","27592.5"
"MZ","27623"
"NO","28018.5"
"NP","28310.5"
"NQ","28335.5"
"NR","28359"
"NS","28440"
"NT","28793.5"
"NU","29375"
"NV","29435.5"
"NW","29534"
"NX","29812"
"NY","29823"
"NZ","30768"
"OP","30904.5"
"OQ","31245"
"OR","31246.5"
"OS","31375"
"OT","31843.5"
"OU","32148"
"OV","32192.5"
"OW","32322.5"
"OX","32389"
"OY","32751"
"OZ","32787.5"
"PQ","32802.5"
"PR","33290"
