"","new_col"
"1","8EGN0,11LV0,4EGV0,4EGV1,1BD1,7EGN0,7EGN0,6EGQ0,13EN0,2EGT0,1DT0,4EGV0"
"2","8EGM1,7EGQ1,4EGV1,11LR0,12HV0,14EIQ1,1BJ1,1EH0,11LN0,12HM0,7EGQ1,13AN0"
"3","8EGN0,11LV0,4EGX0,4EGX0,12JN0,7EGS0,12IX0,14EIQ0,13BZ0,3MO1,6EGM0,1DI0,6EGM0,1BZ0"
"4","8EGM1,7EGS0,11LR0,4EGN0,7EGS0,13CT0"
"5","8EGR1,7EGW1,4EGV1,11LR0,12HV0,14EGR1,1BJ0,1AV1,8EGR1,3TW1,3EFK0,9EGO0"
"6","8EGR1,7EGQ1,4EGY1,11LR0,12HV0,14EIQ1,1BJ1,1EH0,11LN0,12HM0,7EGQ1,13AN1,1CE0,4EGY1,2EGQ1,2EGQ1,8EGR0,4EGY0"
"7","8EGN0,11LV0,4EGS0,4EGS0,12JN0,7EGU0,12IX0,14EHR0,13BZ0,3MO1,6EGP0,1DI0,6EGP0,1BZ1,1CE1"
"8","8EGM1,7EGQ1,4EGX0,11LR0,12HX0,13BN1,1BF1,11JW0,3APX1,14EIQ0,1EJ0,14EIQ1,4EGX0,7EGQ0,3BGN1,2EGS0,3DIM0,3CWZ0,3BWX1,3CDG1,1BQ1,9EGQ0,7EGQ1,3CDW1,3CMZ0"
"9","8EGN0,11LV1,1AJ1,4EGY1"
"10","8EGM1,7EGQ1,4EGV1,11LR1,1FN0"
"11","8EGM1,7EGQ1,4EHJ0,11LR0,12HX0,13BN1,1BF1,11JW0,3APX1,14EIQ0,1EJ0,14EIQ1,4EHJ1,13DY1"
"12","8EGM1,7EGW1,4EGV1,11LR0,12HV0,14EHN1,1BJ0,1AV1,8EGM0,4EGV1,3DNT0,2EGT1,3AFX1,13EY0"
"13","8EGP0,11LV0,4EGV0,4EGV1,1BD0,12IO0,13FS0,6EGQ0,3DIO0,3UW1,1AZ0"
"14","8EGN0,11LV0,4EGT0,4EGT0,12JN0,7EGY0,12IX0,14EIQ0,13BZ1,2EGQ0,7EGY1,1CO0,4EGT0,3BPZ1,3BSV1,13CU1,6EGQ1,1AV1,1BF1,8EGN0"
"15","8EGM1,7EHI0,11LR0,4EGR0,7EHI1,4EGR0,13CT0,11JV0,2EGQ0,8EGM0,2EGQ0,14EHU1,1BX0"
"16","8EGP0,11LV0,4EGX0,4EGX0,12JN0,7EGR0,12IX0,14EIQ0,13BZ0,3MO1,6EGQ0,1DI0,6EGQ0,1BZ0"
