"","new_col"
"1","6IR0,11CV0,4IW1,1AC1,13AT0,1BS0,4IW0,7IO0,9IR0"
"2","6IP1,7IR1,1R1,11CU0,12CK0,4IW1,3DQ0,2IT0"
"3","6IN0,11CV0,4IY0,7IT0,2IR0,3DF1,13BO0"
"4","6IP1,7IT0,11CU0,1S1,4IO0,14KV0,2IR1,7IT0,4IO0,3IM0,3GQ1"
"5","6IP1,7IX1,1R0,4IW1,3EY1"
"6","6IP1,7IR1,1R1,11CU0,12CK0,4IZ0,2IR0,3FV1,3GW1,7IR0,13BX0,3HY0"
"7","6IQ0,11CV0,4IT0,7IV0,2IR0,3DF1,13BO0"
"8","6IP1,7IR1,1R1,11CU0,12CK0,4IY0,2IT0,3FV1,3GW0,7IR1"
"9","6IR0,11CV1"
"10","6IP1,7IR1,1R1,11CU1"
"11","6IP1,7IR1,1R1,11CU0,12CK0,4JM0,2IR0,3FV1,3GW1,7IR0,13BX1"
"12","6IP1,7IX1,1R1,11CU0,12CK0,4IW1,3DQ1,3HN0,3GV0,2IU1,11CS0,14JQ1,7IX0,4IW0,1AT0,3FQ0,1Y0,1V0"
"13","6IR0,11CV0,4IW1,1AC0,4IW0,3DW1"
"14","6IR0,11CV0,4IU0,7IZ0,2IR0,3DF1,13BO0"
"15","6IP1,7JL0,11CU0,1S1,4IS0,14JX0,2IR1,7JL1,4IS0,1V1"
"16","6IR0,11CV0,4IY0,7IS0,2IT0,3DF1,13BO0"
"17","6IR0,11CV0,4IY0,7IU0,2IR0,3DF1,13BO0"
"18","6IP1,7IZ1,1R1,11CU0,12CK0,4IO0,2IR0,3FV0,1BD0,3DY0"
"19","6IN0,11CV0,4IZ1,1AC1,13AT1,7IR1"
"20","6IP1,7IX1,1R1,11CU0,12CK0,4IX1,3DQ1,3HN0,3GV0,2IR1,11CS0,14KV1,7IX0,4IX1"
"21","6IS0,11CV0,4IY0,7IV0,2IR0,3DF1,13BO0"
"22","6IP1,7IS0,11CU0,1S1,4IT0,14KV0,2IO1,7IS1,4IT0,1V1"
"23","6IP1,7JL0,11CU0,1S1,4IO0,14KV0,2IR1,7JL1,4IO0,1V1"
"24","6IN0,11CV0,4IY0,7JK0,2IR0,3DF1,13BO0"
"25","6IP1,7JK1,1R1,11CU0,12CK0,4IW1,3DQ1,3HN0,3GV0,2IP1,11CS0,14KV1,7JK1,13BC0"
"26","6IR0,11CV0,4IY0,7IQ0,2IR0,3DF1,13BO0"
"27","6IN0,11CV0,4IY0,7IR0,2IR0,3DF1,13BO1,7IR0"
"28","6IP1,7IQ0,11CU0,1S1,4IY0,14KV0,2IR1,7IQ1,4IY1,1AG1,1BS0,2IR0,3GN0,13AY0,12CF0,11CN0,1AN1,9IR0,8IN0"
"29","6IR0,11CV0,4IU0,7IY1,1AU0"
"30","6IR0,11CV0,4JM0,7IZ0,2IR0,3DF1,13BO0"
