"","x"
"A","0.65"
"B","1.6"
"C","2.7"
"D","2.95"
"E","4.65"
"F","5.15"
"G","5.8"
"H","0.75"
"I","1.65"
"J","3.05"
"K","5.45"
"L","6.15"
"M","1"
"N","2.85"
"O","3.25"
"P","5.55"
"Q","0.6"
"R","1.85"
"S","2.9"
"T","3.1"
"U","5.05"
"V","5.35"
"W","0.8"
"X","1.45"
"Y","3.2"
"Z","4.75"
"AB","5.95"
"AC","0.7"
"AD","2.5"
"AE","3.35"
"AF","5.5"
"AG","5.9"
"AH","1.9"
"AI","4.85"
"AJ","4.95"
"AK","6.55"
"AL","2.6"
"AM","5.4"
"AN","6.2"
"AO","4.6"
"AP","4.9"
"AQ","5.65"
"AR","0.9"
"AS","3.3"
"AT","7.05"
"AU","2.05"
"AV","0.85"
"AW","1.75"
"AX","6.1"
"AY","2.75"
"AZ","5.2"
"BC","6.45"
"BD","1.8"
"BE","2.55"
"BF","5.3"
"BG","6.3"
"BH","4.7"
"BI","6.05"
"BJ","2.8"
"BK","3"
"BL","6"
"BM","4.5"
"BN","1.2"
"BO","3.4"
"BP","3.55"
"BQ","3.45"
"BR","1.5"
"BS","6.65"
"BT","2.65"
"BU","3.15"
"BV","6.25"
"BW","4.45"
"BX","4.25"
"BY","1.55"
"BZ","2.4"
"CD","5.25"
"CE","3.5"
"CF","6.75"
"CG","1.05"
"CH","1.95"
"CI","2.45"
"CJ","3.6"
"CK","2.3"
"CL","5.1"
"CM","7.15"
"CN","4.8"
"CO","6.8"
"CP","5.85"
"CQ","4.55"
"CR","5.7"
"CS","5.6"
"CT","4.35"
"CU","1.7"
"CV","0.95"
"CW","4.3"
"CX","5.75"
"CY","2.35"
"CZ","5"
"DE","6.35"
"DF","1.35"
"DG","7.3"
"DH","6.4"
"DI","6.7"
"DJ","3.85"
"DK","6.6"
"DL","7.2"
"DM","7.35"
"DN","6.85"
"DO","1.4"
"DP","7"
"DQ","0.55"
"DR","4.4"
"DS","2.25"
"DT","2.2"
"DU","1.3"
"DV","6.95"
"DW","4.15"
"DX","1.1"
"DY","1.15"
"DZ","1.25"
