"","var","n","wt","dev","yval","complexity","ncompete","nsurrogate","yval2.","yval2.","yval2.","yval2.","yval2.","yval2.","yval2.","yval2.nodeprob"
"1","Petal.Length",99,99,50,2,0.52,3,3, 2.00000000,26.00000000,49.00000000,24.00000000, 0.26262626, 0.49494949, 0.24242424, 1.00000000
"2","<leaf>",26,26, 0,1,0.00,0,0, 1.00000000,26.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 0.26262626
"3","Petal.Length",73,73,24,2,0.42,3,3, 2.00000000, 0.00000000,49.00000000,24.00000000, 0.00000000, 0.67123288, 0.32876712, 0.73737374
"6","Sepal.Length",48,48, 1,2,0.01,3,0, 2.00000000, 0.00000000,47.00000000, 1.00000000, 0.00000000, 0.97916667, 0.02083333, 0.48484848
"12","<leaf>",46,46, 0,2,0.00,0,0, 2.00000000, 0.00000000,46.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.46464646
"13","Sepal.Width", 2, 2, 1,2,0.01,2,0, 2.00000000, 0.00000000, 1.00000000, 1.00000000, 0.00000000, 0.50000000, 0.50000000, 0.02020202
"26","<leaf>", 1, 1, 0,2,0.00,0,0, 2.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.01010101
"27","<leaf>", 1, 1, 0,3,0.00,0,0, 3.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 1.00000000, 0.01010101
"7","Petal.Width",25,25, 2,3,0.02,3,0, 3.00000000, 0.00000000, 2.00000000,23.00000000, 0.00000000, 0.08000000, 0.92000000, 0.25252525
"14","Petal.Length", 4, 4, 2,2,0.02,3,0, 2.00000000, 0.00000000, 2.00000000, 2.00000000, 0.00000000, 0.50000000, 0.50000000, 0.04040404
"28","<leaf>", 2, 2, 0,2,0.00,0,0, 2.00000000, 0.00000000, 2.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.02020202
"29","<leaf>", 2, 2, 0,3,0.00,0,0, 3.00000000, 0.00000000, 0.00000000, 2.00000000, 0.00000000, 0.00000000, 1.00000000, 0.02020202
"15","<leaf>",21,21, 0,3,0.00,0,0, 3.00000000, 0.00000000, 0.00000000,21.00000000, 0.00000000, 0.00000000, 1.00000000, 0.21212121
