"","count","ncat","improve","index","adj"
"Petal.Width",99,-1,32.8934629311988,1.65,0
"Petal.Length",99,-1,31.4956179441474,4.85,0
"Sepal.Length",99,-1,20.0336056744507,5.55,0
"Sepal.Width",99,1,11.9073392149342,3.25,0
"Petal.Length",0,-1,0.929292929292929,4.85,0.847826086956522
"Sepal.Length",0,-1,0.858585858585859,6.25,0.695652173913043
"Sepal.Width",0,1,0.616161616161616,3.05,0.173913043478261
"Petal.Length",53,-1,23.8282368249837,2.7,0
"Petal.Width",53,-1,23.8282368249837,0.8,0
"Sepal.Length",53,-1,16.0899001109878,5.35,0
"Sepal.Width",53,1,11.4257289879931,3.15,0
"Petal.Width",0,-1,1,0.8,1
"Sepal.Length",0,-1,0.905660377358491,5.35,0.791666666666667
"Sepal.Width",0,1,0.849056603773585,3.15,0.666666666666667
"Petal.Length",29,-1,3.87931034482759,4.95,0
"Petal.Width",29,-1,0.579310344827586,1.35,0
"Sepal.Length",29,-1,0.43813387423935,5.95,0
"Sepal.Width",29,1,0.43813387423935,2.85,0
"Petal.Width",4,1,1.5,1.55,0
"Sepal.Length",4,-1,0.5,6.05,0
"Sepal.Width",4,1,0.5,2.65,0
"Petal.Length",4,1,0.166666666666667,5.05,0
