"","count","ncat","improve","index","adj"
"Petal.Length",150,-1,50,2.45,0
"Petal.Width",150,-1,50,0.8,0
"Sepal.Length",150,-1,34.1640502354788,5.45,0
"Sepal.Width",150,1,19.0385075340828,3.35,0
"Petal.Width",0,-1,1,0.8,1
"Sepal.Length",0,-1,0.92,5.45,0.76
"Sepal.Width",0,1,0.833333333333333,3.35,0.5
"Petal.Width",100,-1,38.9694041867955,1.75,0
"Petal.Length",100,-1,37.3535353535354,4.75,0
"Sepal.Length",100,-1,10.6868686868687,6.15,0
"Sepal.Width",100,-1,3.55555555555556,2.45,0
"Petal.Length",0,-1,0.91,4.75,0.804347826086957
"Sepal.Length",0,-1,0.73,6.15,0.413043478260869
"Sepal.Width",0,-1,0.67,2.95,0.282608695652174
"Petal.Length",54,-1,4.44907407407406,4.95,0
"Sepal.Length",54,-1,1.67784765897973,7.1,0
"Petal.Width",54,-1,0.997150997150996,1.35,0
"Sepal.Width",54,1,0.250013923698127,2.65,0
"Petal.Width",48,-1,1.95833333333333,1.65,0
"Sepal.Length",48,1,0.958333333333335,4.95,0
"Sepal.Width",48,1,0.101190476190479,2.55,0
"Petal.Length",48,-1,0.0635964912280751,4.45,0
"Petal.Width",6,1,1.33333333333333,1.55,0
"Sepal.Width",6,1,0.666666666666667,2.65,0
"Petal.Length",6,-1,0.666666666666666,5.35,0
"Sepal.Length",6,-1,0.266666666666666,6.95,0
"Sepal.Length",0,1,0.833333333333333,6.5,0.666666666666667
"Sepal.Width",0,1,0.833333333333333,2.65,0.666666666666667
"Sepal.Length",3,-1,1.33333333333333,6.95,0
"Petal.Length",3,-1,1.33333333333333,5.45,0
"Sepal.Width",3,-1,0.333333333333333,2.85,0
"Petal.Width",3,1,0.333333333333333,1.65,0
"Petal.Length",46,-1,0.623188405797101,4.85,0
"Sepal.Length",46,-1,0.242236024844721,5.95,0
"Petal.Width",46,-1,0.123188405797101,1.85,0
"Sepal.Width",46,1,0.0993788819875743,3.15,0
"Sepal.Length",3,-1,1.33333333333333,5.95,0
"Sepal.Width",3,1,1.33333333333333,3.1,0
