0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
27.0, Private,0.0, 11th,18.0, Never-married, Priv-house-serv, Own-child, Asian-Pac-Islander, Male,26846.0,260.0,36.0, Guatemala, <=50K, >50K
83.0, Federal-gov,102036.0, 11th,21.0, Married-spouse-absent, Transport-moving, Husband, Asian-Pac-Islander, Male,17371.0,1063.0,48.0, Ecuador, <=50K, >50K
0.0, Self-emp-inc,0.0, 12th,18.0, Divorced, Protective-serv, Other-relative, White, Male,136862.0,0.0,173.0, Guatemala, <=50K, >50K
143.0, Self-emp-not-inc,0.0, 7th-8th,15.0, Separated, Machine-op-inspct, Other-relative, Amer-Indian-Eskimo, Female,14175.0,351.0,112.0, India, <=50K, >50K
48.0, Without-pay,202380.0, 5th-6th,7.0, Married-civ-spouse, Protective-serv, Own-child, White, Female,8591.0,1404.0,69.0, Portugal, <=50K, >50K
26.0, Private,661569.0, 9th,19.0, Married-civ-spouse, Sales, Own-child, Black, Female,42657.0,0.0,38.0, Japan, <=50K, >50K
133.0, Without-pay,133852.0, 9th,12.0, Widowed, Farming-fishing, Other-relative, Other, Male,116641.0,0.0,46.0, United-States, <=50K, >50K
52.0, Self-emp-not-inc,209642.0, HS-grad,9.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,45.0, United-States, >50K, <=50K
31.0, Private,45781.0, Masters,14.0, Never-married, Prof-specialty, Not-in-family, White, Female,14084.0,0.0,50.0, United-States, >50K, <=50K
42.0, Private,159449.0, Bachelors,13.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,5178.0,0.0,40.0, United-States, >50K, <=50K
37.0, Private,280464.0, 10th,10.0, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0.0,0.0,80.0, United-States, >50K, <=50K
30.0, State-gov,141297.0, Bachelors,13.0, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0.0,0.0,40.0, India, >50K, <=50K
18.0, Self-emp-not-inc,0.0, 11th,15.0, Married-spouse-absent, Exec-managerial, Own-child, Black, Female,21664.0,520.0,50.0, Poland, <=50K, >50K
58.0, Local-gov,89671.0, Bachelors,20.0, Divorced, Other-service, Wife, Black, Male,0.0,1591.0,87.0, Portugal, <=50K, >50K
42.0, Private,239427.0, Assoc-voc,14.0, Married-civ-spouse, Machine-op-inspct, Not-in-family, Amer-Indian-Eskimo, Male,9053.0,352.0,53.0, Scotland, <=50K, >50K
52.0, Self-emp-not-inc,396283.0, Masters,14.0, Married-AF-spouse, Machine-op-inspct, Unmarried, Other, Male,30453.0,0.0,30.0, Holand-Netherlands, <=50K, >50K
35.0, Federal-gov,0.0, 10th,15.0, Never-married, Armed-Forces, Unmarried, White, Male,27562.0,0.0,22.0, Hong, <=50K, >50K
33.0, Local-gov,0.0, Assoc-voc,11.0, Married-AF-spouse, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,48126.0,1906.0,47.0, Guatemala, <=50K, >50K
43.0, Self-emp-not-inc,292175.0, Masters,14.0, Divorced, Exec-managerial, Unmarried, White, Female,0.0,0.0,45.0, United-States, >50K, <=50K
29.0, Private,322794.0, 11th,15.0, Widowed, Adm-clerical, Husband, White, Male,0.0,0.0,56.0, Jamaica, >50K, <=50K
78.0, Local-gov,63117.0, 12th,12.0, Never-married, Tech-support, Other-relative, Other, Male,11810.0,1366.0,80.0, Portugal, <=50K, >50K
