sepal-length,sepal-width,petal-length,petal-width,species
-0.90068117,1.019004352,-1.340226527,-1.315444295,Iris-setosa
-1.143016911,-0.131979479,-1.340226527,-1.315444295,Iris-setosa
-1.385352652,0.328414053,-1.397063954,-1.315444295,Iris-setosa
-1.506520523,0.098217287,-1.2833891,-1.315444295,Iris-setosa
-1.021849041,1.249201118,-1.340226527,-1.315444295,Iris-setosa
-0.537177559,1.939791417,-1.169714246,-1.052179926,Iris-setosa
-1.506520523,0.788807586,-1.340226527,-1.183812111,Iris-setosa
-1.021849041,0.788807586,-1.2833891,-1.315444295,Iris-setosa
-1.748856263,-0.362176246,-1.340226527,-1.315444295,Iris-setosa
-1.143016911,0.098217287,-1.2833891,-1.447076479,Iris-setosa
-0.537177559,1.479397884,-1.2833891,-1.315444295,Iris-setosa
-1.264184782,0.788807586,-1.226551673,-1.315444295,Iris-setosa
-1.264184782,-0.131979479,-1.340226527,-1.447076479,Iris-setosa
-1.870024134,-0.131979479,-1.510738807,-1.447076479,Iris-setosa
-0.052506077,2.169988183,-1.45390138,-1.315444295,Iris-setosa
-0.173673948,3.090775248,-1.2833891,-1.052179926,Iris-setosa
-0.537177559,1.939791417,-1.397063954,-1.052179926,Iris-setosa
-0.90068117,1.019004352,-1.340226527,-1.183812111,Iris-setosa
-0.173673948,1.709594651,-1.169714246,-1.183812111,Iris-setosa
-0.90068117,1.709594651,-1.2833891,-1.183812111,Iris-setosa
-0.537177559,0.788807586,-1.169714246,-1.315444295,Iris-setosa
-0.90068117,1.479397884,-1.2833891,-1.052179926,Iris-setosa
-1.506520523,1.249201118,-1.567576234,-1.315444295,Iris-setosa
-0.90068117,0.558610819,-1.169714246,-0.920547742,Iris-setosa
-1.264184782,0.788807586,-1.056039392,-1.315444295,Iris-setosa
-1.021849041,-0.131979479,-1.226551673,-1.315444295,Iris-setosa
-1.021849041,0.788807586,-1.226551673,-1.052179926,Iris-setosa
-0.7795133,1.019004352,-1.2833891,-1.315444295,Iris-setosa
-0.7795133,0.788807586,-1.340226527,-1.315444295,Iris-setosa
-1.385352652,0.328414053,-1.226551673,-1.315444295,Iris-setosa
-1.264184782,0.098217287,-1.226551673,-1.315444295,Iris-setosa
-0.537177559,0.788807586,-1.2833891,-1.052179926,Iris-setosa
-0.7795133,2.40018495,-1.2833891,-1.447076479,Iris-setosa
-0.416009689,2.630381716,-1.340226527,-1.315444295,Iris-setosa
-1.143016911,0.098217287,-1.2833891,-1.315444295,Iris-setosa
-1.021849041,0.328414053,-1.45390138,-1.315444295,Iris-setosa
-0.416009689,1.019004352,-1.397063954,-1.315444295,Iris-setosa
-1.143016911,1.249201118,-1.340226527,-1.447076479,Iris-setosa
-1.748856263,-0.131979479,-1.397063954,-1.315444295,Iris-setosa
-0.90068117,0.788807586,-1.2833891,-1.315444295,Iris-setosa
-1.021849041,1.019004352,-1.397063954,-1.183812111,Iris-setosa
-1.627688393,-1.743356843,-1.397063954,-1.183812111,Iris-setosa
-1.748856263,0.328414053,-1.397063954,-1.315444295,Iris-setosa
