num_leaves,leaves
13,"[5, 6, 8, 14, 19, 30, 37, 63, 72, 124, 125, 146, 147]"
15,"[3, 4, 41, 43, 44, 47, 80, 84, 85, 90, 91, 92, 93, 162, 163]"
10,"[4, 5, 12, 15, 26, 28, 29, 55, 108, 109]"
16,"[9, 10, 11, 12, 15, 16, 26, 27, 28, 29, 35, 68, 138, 278, 558, 559]"
11,"[8, 10, 11, 12, 13, 15, 18, 28, 29, 38, 39]"
9,"[4, 5, 12, 13, 14, 30, 63, 124, 125]"
11,"[3, 8, 11, 18, 19, 21, 41, 80, 162, 326, 327]"
12,"[5, 8, 9, 13, 14, 15, 25, 96, 98, 99, 194, 195]"
9,"[3, 8, 18, 19, 20, 21, 23, 44, 45]"
11,"[3, 16, 18, 19, 20, 22, 23, 34, 35, 42, 43]"
14,"[3, 8, 18, 21, 22, 23, 38, 39, 81, 82, 83, 160, 322, 323]"
13,"[3, 9, 11, 20, 21, 32, 66, 67, 68, 69, 71, 140, 141]"
8,"[4, 5, 6, 28, 29, 31, 60, 61]"
11,"[4, 6, 10, 11, 28, 31, 58, 59, 60, 122, 123]"
13,"[5, 6, 9, 14, 17, 31, 32, 60, 61, 67, 132, 266, 267]"
16,"[4, 10, 11, 12, 26, 28, 29, 54, 55, 60, 61, 62, 127, 253, 504, 505]"
12,"[4, 10, 11, 12, 14, 26, 31, 54, 55, 61, 120, 121]"
11,"[3, 5, 9, 16, 68, 70, 138, 139, 143, 284, 285]"
13,"[4, 7, 12, 13, 22, 23, 42, 43, 80, 82, 83, 162, 163]"
16,"[4, 12, 13, 14, 22, 30, 31, 42, 43, 46, 47, 80, 82, 83, 162, 163]"
10,"[4, 5, 12, 13, 15, 28, 58, 119, 236, 237]"
8,"[2, 12, 13, 14, 60, 61, 62, 63]"
14,"[5, 8, 12, 13, 14, 18, 19, 60, 61, 124, 125, 127, 252, 253]"
8,"[2, 12, 13, 14, 60, 61, 62, 63]"
12,"[5, 6, 9, 14, 15, 17, 32, 66, 135, 269, 536, 537]"
11,"[3, 4, 11, 42, 43, 81, 82, 83, 160, 322, 323]"
13,"[4, 10, 13, 15, 22, 23, 24, 28, 50, 51, 59, 116, 117]"
13,"[5, 6, 9, 15, 28, 29, 34, 35, 64, 66, 67, 130, 131]"
10,"[3, 9, 10, 16, 22, 23, 35, 68, 138, 139]"
14,"[5, 6, 8, 15, 28, 36, 38, 59, 74, 75, 78, 79, 116, 117]"
9,"[3, 8, 11, 18, 19, 40, 41, 42, 43]"
14,"[7, 8, 10, 11, 12, 18, 26, 38, 39, 54, 111, 220, 442, 443]"
11,"[8, 9, 10, 13, 15, 22, 23, 24, 25, 28, 29]"
9,"[3, 8, 10, 18, 22, 23, 39, 76, 77]"
12,"[5, 6, 8, 14, 18, 19, 30, 62, 126, 255, 508, 509]"
14,"[6, 8, 14, 15, 18, 20, 22, 38, 39, 42, 46, 47, 86, 87]"
15,"[9, 11, 12, 13, 14, 17, 20, 21, 31, 32, 60, 61, 66, 134, 135]"
14,"[5, 9, 13, 16, 24, 25, 28, 29, 31, 34, 60, 61, 70, 71]"
16,"[3, 5, 9, 35, 64, 67, 68, 130, 131, 133, 138, 264, 278, 279, 530, 531]"
11,"[2, 7, 25, 48, 52, 54, 55, 98, 99, 106, 107]"
16,"[5, 9, 12, 26, 27, 28, 29, 31, 32, 34, 35, 60, 61, 66, 134, 135]"
11,"[5, 7, 8, 9, 12, 26, 55, 109, 216, 434, 435]"
13,"[8, 9, 11, 12, 14, 20, 21, 26, 30, 31, 55, 108, 109]"
11,"[4, 5, 12, 13, 14, 30, 124, 125, 127, 252, 253]"
17,"[5, 8, 13, 18, 19, 28, 31, 48, 50, 51, 58, 60, 61, 98, 99, 118, 119]"
15,"[5, 6, 14, 18, 19, 30, 31, 34, 35, 64, 66, 130, 131, 134, 135]"
