"","values.global_bins."
"A","(2)"
"AB","1824.5"
"ABC","60.5"
"ABD","40943"
"ABE","60"
"ABF","8704.5"
"ABG","27905"
"ABH","7569.5"
"ABI","370471.5"
"ABJ","145631.5"
"ABK","318780.5"
"ABL","139122.5"
"ABM","89789"
"ABN","172524.5"
"ABO","63"
"ABP","10596.5"
"ABQ","5354.5"
"ABR","40422.5"
"ABS","34996"
"ABT","200712"
"ABU","503950"
"ABV","58536.5"
"ABW","380217.5"
"ABX","1814"
"ABY","68"
"ABZ","3424.5"
"AC","39.5"
"ACD","87257.5"
"ACE","24.5"
"ACF","26439.5"
"ACG","201811"
"ACH","23301.5"
"ACI","75"
"ACJ","33700.5"
"ACK","63109.5"
"ACL","403738.5"
"ACM","42312.5"
"ACN","362314"
"ACO","567573"
"ACP","354690.5"
"ACQ","40028"
"ACR","230532.5"
"ACS","3677"
"ACT","2638.5"
"ACU","44"
"ACV","2066.5"
"ACW","26679.5"
"ACX","31291.5"
"ACY","235729"
"ACZ","28448.5"
"AD","(13)"
"ADE","285085.5"
"ADF","647185.5"
"ADG","91433"
"ADH","51726.5"
"ADI","91921"
"ADJ","198473.5"
"ADK","1692.5"
"ADL","61"
"ADM","87485"
"ADN","596286.5"
"ADO","259127"
"ADP","587248"
"ADQ","6144"
"ADR","8524"
"ADS","394218"
"ADT","112394.5"
"ADU","2068"
"ADV","77442"
"ADW","407398"
"ADX","32425.5"
"ADY","96068.5"
"ADZ","3293.5"
"AE","39"
"AEF","9.5"
"AEG","9365"
"AEH","8727"
"AEI","625590"
"AEJ","257272.5"
"AEK","32347"
"AEL","35"
"AEM","31518.5"
"AEN","42087.5"
"AEO","405659"
"AEP","4914"
"AEQ","114216"
"AER","51076"
"AES","8067"
"AET","113443"
"AEU","174126"
"AEV","367150"
"AEW","1976.5"
"AEX","282432"
"AEY","174697"
"AEZ","(39)"
"AF","27.5"
"AFG","227377"
"AFH","194571"
"AFI","113405.5"
"AFJ","45"
"AFK","79898"
"AFL","1779.5"
"AFM","149741"
"AFN","61.5"
"AFO","172774"
"AFP","(25)"
"AFQ","253328.5"
"AFR","180712.5"
"AFS","219354"
"AFT","261146"
"AFU","176731"
"AFV","179846"
"AFW","138592"
"AFX","93147"
"AFY","26.5"
"AFZ","(20)"
"AG","55.5"
"AGH","194799"
"AGI","261016.5"
"AGJ","205483.5"
"AGK","(26)"
"AGL","193118"
"AGM","259860"
"AGN","72818.5"
"AGO","145290.5"
"AGP","161151"
"AGQ","284093.5"
"AGR","181850"
"AGS","178521"
"AGT","189173"
"AGU","34.5"
"AGV","215658.5"
"AGW","168922.5"
"AGX","344285.5"
"AGY","285300"
"AGZ","174267.5"
"AH","(14)"
"AHI","177586"
"AHJ","197482"
"AHK","204088.5"
"AHL","54"
"AHM","337173.5"
"AHN","256439"
"AHO","115747"
"AHP","33603.5"
"AHQ","408042.5"
"AHR","31"
"AHS","33586"
"AHT","244435"
"AHU","66701.5"
"AHV","161474"
"AHW","174492"
"AHX","122393"
"AHY","110427.5"
"AHZ","336697"
"AI","30"
"AIJ","137524.5"
"AIK","9705"
"AIL","243452.5"
"AIM","145217.5"
"AIN","369335.5"
"AIO","172913.5"
"AIP","256881"
"AIQ","131937"
"AIR","116622.5"
"AIS","153878"
"AIT","252527"
"AIU","297087.5"
"AIV","128824.5"
"AIW","67069"
"AIX","232460.5"
"AIY","172850"
"AIZ","164048.5"
