"","values.global_bins."
"A","(17)"
"AB","(93)"
"ABC","3111.5"
"ABD","3307"
"ABE","127"
"ABF","93"
"ABG","78"
"ABH","326"
"ABI","282.5"
"ABJ","204"
"ABK","3894.5"
"ABL","4429"
"ABM","2123.5"
"ABN","2649.5"
"ABO","20.05"
"ABP","16.85"
"ABQ","2966.5"
"ABR","2651"
"ABS","2085"
"ABT","102.5"
"ABU","130.5"
"ABV","2233"
"ABW","3018"
"ABX","2352.5"
"ABY","3811"
"ABZ","4042"
"AC","76"
"ACD","106.5"
"ACE","17.85"
"ACF","1922.5"
"ACG","434.5"
"ACH","86.5"
"ACI","2775"
"ACJ","4068.5"
"ACK","3972.5"
"ACL","115.5"
"ACM","15.6"
"ACN","13.25"
"ACO","194"
"ACP","138.5"
"ACQ","83"
"ACR","104"
"ACS","4827"
"ACT","133"
"ACU","148.5"
"ACV","4327"
"ACW","3994"
"ACX","10.45"
"ACY","2253"
"ACZ","2815"
"AD","89"
"ADE","145.5"
"ADF","107.5"
"ADG","375"
"ADH","3991"
"ADI","2087"
"ADJ","3242.5"
"ADK","4436"
"ADL","3499.5"
"ADM","2967.5"
"ADN","215"
"ADO","380"
"ADP","89.5"
"ADQ","95.5"
"ADR","103"
"ADS","190.5"
"ADT","3148"
"ADU","4500"
"ADV","13.85"
"ADW","312.5"
"ADX","4367.5"
"ADY","11.3"
"ADZ","3774"
"AE","(81)"
"AEF","3648"
"AEG","2923"
"AEH","3869.5"
"AEI","2212.5"
"AEJ","71"
"AEK","6"
"AEL","4292.5"
"AEM","121"
"AEN","108"
"AEO","2955"
"AEP","16.25"
"AEQ","2771.5"
"AER","3035.5"
"AES","3637.5"
"AET","366.5"
"AEU","305.5"
"AEV","2789.5"
"AEW","3967"
"AEX","15.9"
"AEY","19.3"
"AEZ","153"
"AF","7"
"AFG","3422.5"
"AFH","3432"
"AFI","4214"
"AFJ","13.6"
"AFK","2232.5"
"AFL","18.3"
"AFM","99.5"
"AFN","2733"
"AFO","2613"
"AFP","18.4"
"AFQ","327"
"AFR","3163.5"
"AFS","4223.5"
"AFT","4041"
"AFU","191.5"
"AFV","110.5"
"AFW","114"
"AFX","18"
"AFY","2116.5"
"AFZ","1981.5"
"AG","(84)"
"AGH","2315"
"AGI","3669.5"
"AGJ","4018"
"AGK","4194.5"
"AGL","367"
"AGM","3690.5"
"AGN","2977.5"
"AGO","178"
"AGP","110"
"AGQ","3593"
"AGR","14.95"
"AGS","2965"
"AGT","4466"
"AGU","2931.5"
"AGV","3646"
"AGW","146"
"AGX","4368"
"AGY","1693"
"AGZ","13.2"
"AH","108.75"
"AHI","16.45"
"AHJ","3139.5"
"AHK","197.5"
"AHL","4558.5"
"AHM","3285"
"AHN","4351.5"
"AHO","17.4"
"AHP","16.6"
"AHQ","15.8"
"AHR","14.85"
"AHS","13.8"
"AHT","308.5"
"AHU","2005.5"
"AHV","2972.5"
"AHW","19.1"
"AHX","245"
"AHY","3322"
"AHZ","4213.5"
"AI","15.5"
"AIJ","11.25"
"AIK","11.75"
"AIL","2570.5"
"AIM","2054"
"AIN","17.35"
"AIO","2157.5"
"AIP","3983.5"
"AIQ","93.75"
"AIR","2993.5"
"AIS","3332.5"
"AIT","4303.5"
"AIU","2102"
"AIV","2897.5"
"AIW","82.5"
"AIX","3815"
"AIY","183"
"AIZ","3776"
"AJ","(50)"
"AJK","345"
"AJL","4460.5"
"AJM","4117"
"AJN","2440.5"
"AJO","3718"
"AJP","17.45"
"AJQ","20"
"AJR","3083.5"
"AJS","327.5"
"AJT","125"
"AJU","153.5"
"AJV","119.5"
"AJW","3363.5"
"AJX","4008.5"
"AJY","3682.5"
"AJZ","3552.5"
"AK","(83)"
"AKL","15.4"
"AKM","14.45"
"AKN","2128"
"AKO","131.5"
"AKP","81"
"AKQ","13"
"AKR","3119.5"
"AKS","3942"
"AKT","4144.5"
"AKU","3864"
"AKV","3369.5"
"AKW","306"
"AKX","4064.5"
"AKY","1996.5"
"AKZ","2551"
"AL","117"
"ALM","2228.5"
"ALN","87"
"ALO","4440.5"
"ALP","203"
"ALQ","365.5"
"ALR","3437.5"
"ALS","3233"
"ALT","177"
"ALU","2933.5"
"ALV","3852.5"
"ALW","1994"
"ALX","3785"
"ALY","4646"
"ALZ","159"
"AM","(86)"
"AMN","256"
"AMO","18.55"
"AMP","2337.5"
"AMQ","2928"
"AMR","15.1"
"AMS","2404.5"
"AMT","3687.5"
"AMU","2766"
"AMV","3505"
"AMW","2757.5"
"AMX","4547"
"AMY","3823.5"
"AMZ","17.9"
"AN","81.5"
"ANO","14.65"
"ANP","132.5"
"ANQ","13.4"
"ANR","15.85"
"ANS","14.3"
"ANT","2841.5"
"ANU","2919.5"
"ANV","2092.5"
"ANW","4365.5"
"ANX","361.5"
"ANY","4673.5"
"ANZ","13.9"
"AO","(10)"
"AOP","2845"
"AOQ","137.5"
"AOR","4439.5"
"AOS","15.45"
"AOT","246.5"
"AOU","2836.5"
"AOV","2970"
"AOW","2154.5"
"AOX","18.1"
"AOY","19.55"
"AOZ","3571"
"AP","(43)"
"APQ","4499"
"APR","14.1"
"APS","3858.5"
"APT","4820.5"
"APU","15.95"
"APV","188.5"
"APW","2995"
"APX","2447.5"
"APY","96.5"
"APZ","1804.5"
"AQ","(45)"
"AQR","2642.5"
"AQS","3677.5"
"AQT","339"
"AQU","231"
"AQV","2088"
"AQW","2937.5"
"AQX","15.65"
"AQY","3984.5"
"AQZ","2770"
"AR","(41)"
"ARS","368"
"ART","18.45"
"ARU","117.5"
"ARV","2307.5"
"ARW","1892.5"
"ARX","13.15"
"ARY","4802.5"
"ARZ","3927"
"AS","(1)"
"AST","98.5"
"ASU","169.5"
"ASV","3254.5"
"ASW","2649"
"ASX","17.05"
"ASY","3453.5"
"ASZ","173"
"AT","(2)"
"ATU","21"
"ATV","2805"
"ATW","3755"
"ATX","4081.5"
"ATY","113.5"
"ATZ","328.5"
"AU","(5)"
"AUV","17.6"
"AUW","2065"
"AUX","4587.5"
"AUY","3427"
"AUZ","2161.5"
"AV","130"
"AVW","1967.5"
"AVX","2166.5"
"AVY","2109.5"
"AVZ","3379.5"
"AW","4236"
"AWX","3961"
"AWY","2747"
"AWZ","14.2"
"AX","13.45"
"AXY","138"
"AXZ","129.5"
"AY","(38)"
"AYZ","2113"
"AZ","(31)"
"B","3921"
"BC","(39)"
"BCD","2195.5"
"BCE","4431"
"BCF","15.7"
"BCG","4110.5"
"BCH","4871.5"
"BCI","4377.5"
"BCJ","322"
"BCK","2175"
"BCL","132"
"BCM","3107"
"BCN","241.5"
"BCO","2377.5"
"BCP","3024"
"BCQ","3617"
"BCR","12.4"
"BCS","2558.5"
"BCT","3482.5"
"BCU","2946.5"
"BCV","2527"
"BCW","3323"
"BCX","16"
"BCY","4175"
"BCZ","406"
"BD","(8)"
"BDE","18.8"
"BDF","4082.5"
"BDG","2140.5"
"BDH","17.65"
"BDI","11.05"
"BDJ","2711"
"BDK","3769.5"
"BDL","375.5"
"BDM","2772.5"
"BDN","2452"
"BDO","20.45"
"BDP","3300.5"
"BDQ","4598.5"
"BDR","4419.5"
"BDS","2235"
"BDT","12.25"
"BDU","151"
"BDV","183.5"
"BDW","1900"
"BDX","2222.5"
"BDY","10"
"BDZ","198"
"BE","(69)"
"BEF","3240"
"BEG","3210.5"
"BEH","2163"
"BEI","3059.5"
"BEJ","3946"
"BEK","2010"
"BEL","97"
"BEM","3235.5"
"BEN","4111"
"BEO","2807.5"
"BEP","3380.5"
"BEQ","3702.5"
"BER","170.5"
"BES","2687.5"
"BET","2437.5"
"BEU","4328"
"BEV","3873.5"
"BEW","17.95"
"BEX","2951.5"
"BEY","3595"
"BEZ","3987.5"
"BF","(82)"
"BFG","3643"
"BFH","354"
"BFI","4162.5"
"BFJ","3672"
"BFK","2647.5"
"BFL","2299.5"
"BFM","4114.5"
"BFN","16.05"
"BFO","2210.5"
"BFP","2208.5"
"BFQ","3658.5"
"BFR","3951"
"BFS","3616.5"
"BFT","20.15"
"BFU","1909.5"
"BFV","3305.5"
"BFW","1927.5"
"BFX","17.2"
"BFY","4478"
"BFZ","389.5"
"BG","(67)"
"BGH","3522.5"
"BGI","2849"
"BGJ","2174.5"
"BGK","2497.5"
"BGL","104.5"
"BGM","3601"
"BGN","13.7"
"BGO","86"
"BGP","162"
"BGQ","3399"
"BGR","4471"
"BGS","2825.5"
"BGT","3113.5"
"BGU","20.55"
"BGV","3775"
"BGW","4254.5"
"BGX","442"
"BGY","118"
"BGZ","3048.5"
"BH","(72)"
"BHI","2302.5"
"BHJ","16.9"
"BHK","3442"
"BHL","3512"
"BHM","3862"
"BHN","394.5"
"BHO","200"
"BHP","4220"
"BHQ","17"
"BHR","98"
"BHS","4053.5"
"BHT","2279"
"BHU","2832.5"
"BHV","4106"
"BHW","3716.5"
"BHX","4079.5"
"BHY","419"
"BHZ","2725.5"
"BI","(62)"
"BIJ","174.5"
"BIK","4389.5"
"BIL","2403"
"BIM","1962.5"
"BIN","4324"
"BIO","2842.5"
"BIP","186"
"BIQ","3866"
"BIR","4426.5"
"BIS","3417.5"
"BIT","12.55"
"BIU","2750"
"BIV","1899"
"BIW","2765"
"BIX","(9)"
"BIY","2917"
"BIZ","4232"
"BJ","(66)"
"BJK","2998"
"BJL","3049.5"
"BJM","2146.5"
"BJN","2001"
"BJO","1837.5"
"BJP","1757.5"
"BJQ","4678"
"BJR","323.5"
"BJS","2234"
"BJT","3535.5"
"BJU","2204.5"
"BJV","2819.5"
"BJW","2152.5"
"BJX","1885"
"BJY","2618.5"
"BJZ","4469.5"
"BK","(57)"
"BKL","3524.5"
"BKM","3484"
"BKN","2045"
"BKO","(88)"
"BKP","209"
"BKQ","2953.5"
"BKR","3595.5"
"BKS","1917.5"
"BKT","2160"
"BKU","14.4"
"BKV","3090.5"
"BKW","4409"
"BKX","2699"
"BKY","3688"
"BKZ","2022.5"
"BL","(76)"
"BLM","3720.5"
"BLN","4132"
"BLO","177.5"
"BLP","1815.5"
"BLQ","351"
"BLR","3863.5"
"BLS","189.5"
"BLT","3280"
"BLU","3315.5"
"BLV","4539"
"BLW","4306.5"
"BLX","3093.5"
"BLY","4685"
"BLZ","3023.5"
"BM","(55)"
"BMN","17.75"
"BMO","4481.5"
"BMP","4357"
"BMQ","3267.5"
"BMR","1834.5"
"BMS","3583"
"BMT","(26)"
"BMU","4035"
"BMV","1912.5"
"BMW","4172"
"BMX","3631"
"BMY","17.8"
"BMZ","1758"
"BN","303"
"BNO","2731"
"BNP","4241.5"
"BNQ","(21)"
"BNR","4444.5"
"BNS","3909.5"
"BNT","4594"
"BNU","100"
"BNV","135"
"BNW","2375"
"BNX","4694.5"
"BNY","4373.5"
"BNZ","391.5"
"BO","(44)"
"BOP","4386.5"
"BOQ","3931.5"
"BOR","352"
"BOS","106"
"BOT","4420.5"
"BOU","3916"
"BOV","2650"
"BOW","2240"
"BOX","4394.5"
"BOY","4010"
"BOZ","12.85"
"BP","(32)"
"BPQ","2218"
"BPR","126.75"
"BPS","(33)"
"BPT","3919"
"BPU","4263.5"
"BPV","1872.5"
"BPW","14.6"
"BPX","3494"
"BPY","4159.5"
"BPZ","3398"
"BQ","3554"
"BQR","12.5"
"BQS","2480.5"
"BQT","2446"
"BQU","2020"
"BQV","142"
"BQW","3248.5"
"BQX","4554"
"BQY","2202"
"BQZ","155.5"
"BR","4412"
"BRS","2702.5"
"BRT","2077.5"
"BRU","4222"
"BRV","2297"
"BRW","3989.5"
"BRX","3054.5"
"BRY","355"
"BRZ","94.25"
"BS","72.5"
"BST","2090.5"
"BSU","3309"
"BSV","4089"
"BSW","3813.5"
"BSX","145"
"BSY","2774"
"BSZ","4265.5"
"BT","2227.5"
"BTU","3095.5"
"BTV","3395.5"
"BTW","4381"
"BTX","13.05"
"BTY","379"
"BTZ","260"
"BU","18.35"
"BUV","166"
"BUW","3030"
"BUX","16.4"
"BUY","3303.5"
"BUZ","4491.5"
"BV","74.5"
"BVW","3359"
"BVX","3574"
"BVY","3480"
"BVZ","2504"
"BW","3690"
"BWX","3177"
"BWY","4700"
"BWZ","3439"
"BX","427.5"
"BXY","2162"
"BXZ","2747.5"
"BY","2757"
"BYZ","4866"
"BZ","17.5"
"C","3415"
"CD","2271.5"
"CDE","2690"
"CDF","2582"
"CDG","97.25"
"CDH","3261.5"
"CDI","2173.5"
"CDJ","2318"
"CDK","4519.5"
"CDL","1910"
"CDM","2090"
"CDN","100.5"
"CDO","2920"
"CDP","2410.5"
"CDQ","4804"
"CDR","2115"
"CDS","172.5"
"CDT","102.75"
"CDU","4498.5"
"CDV","4481"
"CDW","3681"
"CDX","2633"
"CDY","135.5"
"CDZ","125.5"
"CE","142.5"
"CEF","(36)"
"CEG","3653"
"CEH","3958.5"
"CEI","2087.5"
"CEJ","1997.5"
"CEK","3058.5"
"CEL","4388"
"CEM","3693"
"CEN","3554.5"
"CEO","3183"
"CEP","2287"
"CEQ","4682.5"
"CER","3238"
"CES","2159.5"
"CET","18.15"
"CEU","3331.5"
"CEV","20.3"
"CEW","3672.5"
"CEX","2412.5"
"CEY","2982.5"
"CEZ","3437"
"CF","74"
"CFG","3084"
"CFH","2262.5"
"CFI","3997"
"CFJ","331"
"CFK","17.55"
"CFL","2459.5"
"CFM","3537.5"
"CFN","2189"
"CFO","19.75"
"CFP","4119"
"CFQ","326.5"
"CFR","(90)"
"CFS","2328.5"
"CFT","3626"
"CFU","3525"
"CFV","3287.5"
"CFW","2686"
"CFX","83.5"
"CFY","3297"
"CFZ","2436"
"CG","224.5"
"CGH","2907.5"
"CGI","4296"
"CGJ","3654.5"
"CGK","3312"
"CGL","4578"
"CGM","10.75"
"CGN","2704"
"CGO","1972.5"
"CGP","2455"
"CGQ","(6)"
"CGR","3756"
"CGS","2907"
"CGT","2196"
"CGU","2175.5"
"CGV","2712.5"
"CGW","2460"
"CGX","4098"
"CGY","140.5"
"CGZ","3652"
"CH","105.5"
"CHI","414.5"
