"","values.global_bins."
"A","186.5"
"AB","3269"
"ABC","4586"
"ABD","352"
"ABE","3724.5"
"ABF","4871.5"
"ABG","4403.5"
"ABH","2968"
"ABI","3850"
"ABJ","2710"
"ABK","4545"
"ABL","12.9"
"ABM","4145"
"ABN","3803"
"ABO","4381"
"ABP","4456.5"
"ABQ","359"
"ABR","4104.5"
"ABS","12.5"
"ABT","13.5"
"ABU","3701"
"ABV","3289"
"ABW","3800"
"ABX","16.55"
"ABY","139.5"
"ABZ","145"
"AC","7"
"ACD","16.75"
"ACE","203"
"ACF","2956"
"ACG","2204.5"
"ACH","169.5"
"ACI","3050.5"
"ACJ","146.5"
"ACK","4005"
"ACL","4373.5"
"ACM","4802.5"
"ACN","355"
"ACO","3845"
"ACP","13"
"ACQ","17.7"
"ACR","86"
"ACS","3413"
"ACT","120"
"ACU","2984.5"
"ACV","87.5"
"ACW","88.5"
"ACX","3472.5"
"ACY","2881.5"
"ACZ","2339.5"
"AD","3552.5"
"ADE","3609"
"ADF","2112"
"ADG","12.75"
"ADH","3647"
"ADI","17.15"
"ADJ","85"
"ADK","2256.5"
"ADL","2272"
"ADM","16.2"
"ADN","3651"
"ADO","152.5"
"ADP","116"
"ADQ","4809.5"
"ADR","3947.5"
"ADS","13.85"
"ADT","2834"
"ADU","73"
"ADV","47.5"
"ADW","2757.5"
"ADX","82.5"
"ADY","2206"
"ADZ","2578.5"
"AE","157"
"AEF","3284.5"
"AEG","228.5"
"AEH","2839"
"AEI","2747"
"AEJ","3661.5"
"AEK","105"
"AEL","117"
"AEM","3742.5"
"AEN","2159.5"
"AEO","68"
"AEP","2315.5"
"AEQ","13.8"
"AER","2805"
"AES","2475"
"AET","17.75"
"AEU","304"
"AEV","3349"
"AEW","140"
"AEX","3826"
"AEY","282"
"AEZ","151"
"AF","78.5"
"AFG","3392.5"
"AFH","3327.5"
"AFI","13.2"
"AFJ","3187.5"
"AFK","2845"
"AFL","3278.5"
"AFM","2217.5"
"AFN","2091.5"
"AFO","2992"
"AFP","119"
"AFQ","2740"
"AFR","88"
"AFS","19.55"
"AFT","3726.5"
"AFU","4412"
"AFV","312.5"
"AFW","13.65"
"AFX","19.5"
"AFY","3726"
"AFZ","210.5"
"AG","3992"
"AGH","3731.5"
"AGI","2898.5"
"AGJ","3300.5"
"AGK","10.75"
"AGL","149.5"
"AGM","3089.5"
"AGN","4111.5"
"AGO","3642.5"
"AGP","11"
"AGQ","156.5"
"AGR","3882.5"
"AGS","4035"
"AGT","202.5"
"AGU","4772"
"AGV","14.45"
"AGW","3603.5"
"AGX","2900.5"
"AGY","2132.5"
"AGZ","104.5"
