num_leaves,leaves
3,"[2, 6, 7]"
3,"[2, 6, 7]"
5,"[2, 6, 15, 28, 29]"
5,"[2, 6, 15, 28, 29]"
5,"[2, 6, 15, 28, 29]"
5,"[2, 6, 15, 28, 29]"
3,"[2, 6, 7]"
6,"[2, 12, 13, 15, 28, 29]"
4,"[2, 7, 12, 13]"
7,"[2, 6, 15, 28, 59, 116, 117]"
6,"[2, 6, 15, 28, 58, 59]"
4,"[2, 7, 12, 13]"
5,"[2, 7, 12, 26, 27]"
3,"[2, 6, 7]"
6,"[2, 6, 15, 29, 56, 57]"
7,"[2, 6, 15, 29, 56, 114, 115]"
4,"[2, 7, 12, 13]"
5,"[2, 7, 13, 24, 25]"
3,"[2, 6, 7]"
4,"[2, 7, 12, 13]"
5,"[2, 6, 15, 28, 29]"
6,"[2, 7, 13, 24, 50, 51]"
5,"[2, 7, 12, 26, 27]"
4,"[2, 7, 12, 13]"
6,"[2, 7, 13, 24, 50, 51]"
7,"[2, 12, 13, 15, 29, 56, 57]"
4,"[2, 7, 12, 13]"
3,"[2, 6, 7]"
7,"[2, 12, 15, 26, 27, 28, 29]"
7,"[2, 12, 15, 26, 27, 28, 29]"
5,"[2, 6, 15, 28, 29]"
3,"[2, 6, 7]"
5,"[2, 6, 15, 28, 29]"
5,"[2, 6, 15, 28, 29]"
3,"[2, 6, 7]"
3,"[2, 6, 7]"
4,"[2, 7, 12, 13]"
5,"[2, 7, 12, 26, 27]"
7,"[2, 12, 15, 26, 27, 28, 29]"
4,"[2, 7, 12, 13]"
3,"[2, 6, 7]"
6,"[2, 12, 13, 15, 28, 29]"
5,"[2, 6, 15, 28, 29]"
5,"[2, 7, 12, 26, 27]"
4,"[2, 7, 12, 13]"
3,"[2, 6, 7]"
5,"[2, 6, 15, 28, 29]"
6,"[2, 12, 13, 15, 28, 29]"
4,"[2, 7, 12, 13]"
4,"[2, 7, 12, 13]"
3,"[3, 4, 5]"
3,"[2, 6, 7]"
5,"[4, 5, 7, 12, 13]"
7,"[2, 12, 15, 26, 27, 28, 29]"
6,"[2, 6, 15, 29, 56, 57]"
3,"[2, 6, 7]"
4,"[2, 7, 12, 13]"
3,"[2, 6, 7]"
4,"[3, 4, 10, 11]"
4,"[2, 6, 14, 15]"
7,"[2, 12, 15, 26, 27, 28, 29]"
5,"[4, 5, 7, 12, 13]"
5,"[4, 5, 7, 12, 13]"
3,"[2, 6, 7]"
5,"[3, 4, 10, 22, 23]"
5,"[2, 6, 15, 28, 29]"
4,"[2, 7, 12, 13]"
7,"[4, 5, 7, 13, 24, 50, 51]"
5,"[2, 6, 15, 28, 29]"
3,"[3, 4, 5]"
7,"[2, 7, 13, 25, 48, 98, 99]"
5,"[2, 7, 12, 26, 27]"
6,"[2, 12, 13, 15, 28, 29]"
3,"[2, 6, 7]"
6,"[2, 6, 14, 31, 60, 61]"
7,"[2, 12, 13, 15, 29, 56, 57]"
3,"[3, 4, 5]"
3,"[2, 6, 7]"
5,"[2, 6, 15, 28, 29]"
4,"[2, 7, 12, 13]"
5,"[4, 5, 7, 12, 13]"
4,"[2, 7, 12, 13]"
5,"[2, 6, 15, 28, 29]"
5,"[2, 7, 12, 26, 27]"
6,"[2, 12, 14, 15, 26, 27]"
5,"[2, 7, 12, 26, 27]"
5,"[3, 4, 10, 22, 23]"
4,"[2, 7, 12, 13]"
3,"[2, 6, 7]"
3,"[3, 4, 5]"
4,"[3, 4, 10, 11]"
5,"[2, 6, 15, 28, 29]"
5,"[2, 7, 12, 26, 27]"
3,"[2, 6, 7]"
5,"[2, 6, 15, 28, 29]"
5,"[2, 6, 15, 28, 29]"
6,"[4, 5, 7, 13, 24, 25]"
7,"[2, 12, 15, 26, 27, 28, 29]"
5,"[2, 6, 15, 28, 29]"
3,"[2, 6, 7]"
5,"[4, 5, 7, 12, 13]"
3,"[3, 4, 5]"
5,"[4, 5, 7, 12, 13]"
7,"[4, 7, 10, 12, 13, 22, 23]"
5,"[4, 5, 7, 12, 13]"
5,"[4, 5, 7, 12, 13]"
4,"[3, 4, 10, 11]"
5,"[4, 5, 7, 12, 13]"
6,"[4, 7, 10, 11, 12, 13]"
6,"[4, 7, 10, 11, 12, 13]"
5,"[4, 5, 7, 12, 13]"
5,"[4, 5, 7, 12, 13]"
5,"[4, 5, 7, 12, 13]"
3,"[3, 4, 5]"
5,"[4, 5, 7, 12, 13]"
5,"[4, 5, 7, 12, 13]"
3,"[3, 4, 5]"
5,"[3, 4, 10, 22, 23]"
3,"[3, 4, 5]"
5,"[4, 5, 7, 12, 13]"
6,"[4, 7, 10, 11, 12, 13]"
5,"[4, 5, 7, 12, 13]"
3,"[3, 4, 5]"
5,"[4, 5, 7, 12, 13]"
3,"[3, 4, 5]"
3,"[3, 4, 5]"
4,"[3, 4, 10, 11]"
7,"[4, 5, 12, 13, 15, 28, 29]"
5,"[4, 5, 7, 12, 13]"
6,"[4, 5, 7, 13, 24, 25]"
5,"[3, 4, 10, 22, 23]"
5,"[4, 5, 7, 12, 13]"
5,"[4, 5, 7, 12, 13]"
3,"[3, 4, 5]"
6,"[4, 5, 7, 12, 26, 27]"
3,"[3, 4, 5]"
3,"[3, 4, 5]"
5,"[4, 5, 7, 12, 13]"
5,"[4, 5, 7, 12, 13]"
8,"[4, 5, 12, 15, 26, 27, 28, 29]"
4,"[3, 4, 10, 11]"
3,"[3, 4, 5]"
3,"[3, 4, 5]"
5,"[4, 5, 7, 12, 13]"
3,"[3, 4, 5]"
5,"[4, 5, 7, 12, 13]"
7,"[4, 7, 10, 12, 13, 22, 23]"
5,"[4, 5, 7, 12, 13]"
5,"[4, 5, 7, 12, 13]"
5,"[4, 5, 7, 12, 13]"
