"original","perturbed"
"3A0","3A1,3B0"
"3C0","3C1,3B0"
"3D0","3D1,3E0"
"3H0","3H1,4I0"
"3A0","3A1,4I0"
"3C0","3C1,3B1,1M0,1L0"
"3C0","3C1,3J0"
"3N0","3N1,4G0,3O0"
"3P0","3P1,4Q0,3O0"
"3N0","3N1,4R0"
"3N0","3N1,4R0"
"3H0","3H1,3V0,4Q0"
"3W0","3W1,3X0,4G0"
"3Z0","3Z1,4R0"
"3Z0","3Z1,4R0"
"3C0","3C1,4I0"
"3N0","3N1,3E0,4I0"
"3C0","3C1,4G0,1AC0,1AF1"
"3D0","3D1,3E0"
"3Z0","3Z1,3B0,1AF1"
"3N0","3N1,3E1,4Q0,1AG0"
"3H0","3H1,3F0,1AH1,2AI1"
"3C0","3C0"
"3D0","3D1,4I0,3AL0"
"3Z0","3Z1,3F0,1AF1,4G0"
"3C0","3C1,4R0,3AL0"
"3A0","3A1,4Q0,3V0"
"3A0","3A1,4I0"
"3W0","3W1,3E0,4I1,2AM1"
"3N0","3N1,3J0,4I0"
"3N0","3N1,3B0"
"3N0","3N1,4AP0"
"3N0","3N1,4G0"
"3N0","3N1,3AR1,4I0,1AS0"
"3AT0","3AT1,4G0"
"3N0","3N1,4G0"
"3C0","3C1,3V0,1AF1"
"3D0","3D1,3V0,4Q0"
"3D0","3D1,3V0,4I0"
"3A0","3A1,4I0,3AU0"
"3A0","3A1,4Q0"
"3A0","3A1,3E0,1AF0"
"3AT0","3AT1,3AW0"
"3AT0","3AT1,3F0,4G0"
"3C0","3C1,4I0,3O1"
"3N0","3N1,3E0"
"3C0","3C1,3E0"
"3A0","3A1,3AX0,1AY0"
"3AZ0","3AZ1,4I0,3J1"
"3C0","3C0"
"4G0,3C1","4G1"
"3A1,3AL0","3A1,3AL1"
"3V0,3D1","3V0,3D1"
"3Z1,3E0,4AP0","3Z1,3E0,4AP0"
"3AZ1,3AW0","3AZ1,3AW1,4G1"
"3N1,4I0","3N1,4I1"
"3N1,3AL0,4Q0","3N1,3AL0,4Q1"
"3C1,3AW0","3C1,3AW0"
"4AP0,3C1,3AL0","4AP1"
"3BE1,3B0","3BE1,3B0"
"3C1,4I0,3V0","3C1,4I0,3V0"
"3B0,3A1","3B0,3A1"
"3B0,3AT1","3B0,3AT1"
"3Z1,4Q0","3Z1,4Q1"
"3V0,3A1,4Q0","3V0,3A1,4Q0"
"3D1,3AX0","3D1,3AX0"
"3N1,4Q0,1BI0","3N1,4Q0,1BI0"
"3AX0,3A1","3AX0,3A1"
"3D1,4AP0","3D1,4AP1,3V0,1AO1"
"3AL0,3Z1","3AL0,3Z1"
"3N1,3F0,1AF1,2AI1,1AK0","3N1,3F0,1AF1,2AI1,1AK0"
"3AZ1,4I0,3V0","3AZ1,4I1"
"3N1,4R0,3V0","3N1,4R1,4G0,1AC0"
"3A1,4G0","3A1,4G0"
"3C1,3B0","3C1,3B1,1M1,4Q1"
"3Z1,3V0,1AF1","3Z1,3V0,1AF1"
"4I0,3A1","4I0,3A1"
"3C1,4G0","3C1,4G1"
"3C1,3AW0","3C1,3AW0"
"3D1,4G0,3O0","3D1,4G0,3O0"
"3B0,3C1","3B0,3C1"
"3D1,4G0,3X0","3D1,4G0,3X0"
"3N1,3AW0","3N1,3AW0"
"3D1,4Q0,2BO1","3D1,4Q0,2BO1"
"3D1,3E0,4Q0","3D1,3E1,1AG0"
"3N1,4I0,3V0","3N1,4I0,3V0"
"3F0,3N1,4I0","3F1"
"3Z1,3E0,1BQ1","3Z1,3E0,1BQ1"
"3Z1,4Q0","3Z1,4Q0"
"4I0,3A1","4I0,3A1"
"4I0,3C1,3BR0","4I1"
"3BS1,3B0","3BS1,3B1,4I1"
"3Z1,4I0,3V0","3Z1,4I1"
"3N1,4G0","3N0"
"3A1,3AL0","3A1,3AL0"
