"","var","n","wt","dev","yval","complexity","ncompete","nsurrogate","yval2.","yval2.","yval2.","yval2.","yval2.","yval2.","yval2.","yval2.nodeprob"
"1","petal_length",150,150,100,1,0.500,3,3, 1.000000000,50.000000000,50.000000000,50.000000000, 0.333333333, 0.333333333, 0.333333333, 1.000000000
"2","<leaf>", 50, 50,  0,1,0.000,0,0, 1.000000000,50.000000000, 0.000000000, 0.000000000, 1.000000000, 0.000000000, 0.000000000, 0.333333333
"3","petal_width",100,100, 50,2,0.440,3,3, 2.000000000, 0.000000000,50.000000000,50.000000000, 0.000000000, 0.500000000, 0.500000000, 0.666666667
"6","petal_length", 54, 54,  5,2,0.020,3,0, 2.000000000, 0.000000000,49.000000000, 5.000000000, 0.000000000, 0.907407407, 0.092592593, 0.360000000
"12","petal_width", 48, 48,  1,2,0.010,3,0, 2.000000000, 0.000000000,47.000000000, 1.000000000, 0.000000000, 0.979166667, 0.020833333, 0.320000000
"24","<leaf>", 47, 47,  0,2,0.000,0,0, 2.000000000, 0.000000000,47.000000000, 0.000000000, 0.000000000, 1.000000000, 0.000000000, 0.313333333
"25","<leaf>",  1,  1,  0,3,0.000,0,0, 3.000000000, 0.000000000, 0.000000000, 1.000000000, 0.000000000, 0.000000000, 1.000000000, 0.006666667
"13","petal_width",  6,  6,  2,3,0.010,3,2, 3.000000000, 0.000000000, 2.000000000, 4.000000000, 0.000000000, 0.333333333, 0.666666667, 0.040000000
"26","sepal_length",  3,  3,  1,2,0.010,3,0, 2.000000000, 0.000000000, 2.000000000, 1.000000000, 0.000000000, 0.666666667, 0.333333333, 0.020000000
"52","<leaf>",  2,  2,  0,2,0.000,0,0, 2.000000000, 0.000000000, 2.000000000, 0.000000000, 0.000000000, 1.000000000, 0.000000000, 0.013333333
"53","<leaf>",  1,  1,  0,3,0.000,0,0, 3.000000000, 0.000000000, 0.000000000, 1.000000000, 0.000000000, 0.000000000, 1.000000000, 0.006666667
"27","<leaf>",  3,  3,  0,3,0.000,0,0, 3.000000000, 0.000000000, 0.000000000, 3.000000000, 0.000000000, 0.000000000, 1.000000000, 0.020000000
"7","petal_length", 46, 46,  1,3,0.005,3,0, 3.000000000, 0.000000000, 1.000000000,45.000000000, 0.000000000, 0.021739130, 0.978260870, 0.306666667
"14","sepal_length",  3,  3,  1,3,0.005,1,0, 3.000000000, 0.000000000, 1.000000000, 2.000000000, 0.000000000, 0.333333333, 0.666666667, 0.020000000
"28","<leaf>",  1,  1,  0,2,0.000,0,0, 2.000000000, 0.000000000, 1.000000000, 0.000000000, 0.000000000, 1.000000000, 0.000000000, 0.006666667
"29","<leaf>",  2,  2,  0,3,0.000,0,0, 3.000000000, 0.000000000, 0.000000000, 2.000000000, 0.000000000, 0.000000000, 1.000000000, 0.013333333
"15","<leaf>", 43, 43,  0,3,0.000,0,0, 3.000000000, 0.000000000, 0.000000000,43.000000000, 0.000000000, 0.000000000, 1.000000000, 0.286666667
