"","count","ncat","improve","index","adj"
"petal_length",150,-1,50,2.45,0
"petal_width",150,-1,50,0.8,0
"sepal_length",150,-1,34.1640502354788,5.45,0
"sepal_width",150,1,18.0555555555556,3.35,0
"petal_width",0,-1,1,0.8,1
"sepal_length",0,-1,0.92,5.45,0.76
"sepal_width",0,1,0.826666666666667,3.35,0.48
"petal_width",100,-1,38.9694041867955,1.75,0
"petal_length",100,-1,37.3535353535354,4.75,0
"sepal_length",100,-1,10.6868686868687,6.15,0
"sepal_width",100,-1,3.55555555555556,2.45,0
"petal_length",0,-1,0.91,4.75,0.804347826086957
"sepal_length",0,-1,0.73,6.15,0.413043478260869
"sepal_width",0,-1,0.67,2.95,0.282608695652174
"petal_length",54,-1,4.44907407407406,4.95,0
"sepal_length",54,-1,1.67784765897973,7.1,0
"petal_width",54,-1,0.997150997150996,1.35,0
"sepal_width",54,1,0.250013923698127,2.65,0
"petal_width",48,-1,1.95833333333333,1.65,0
"sepal_length",48,1,0.958333333333335,4.95,0
"sepal_width",48,1,0.101190476190479,2.55,0
"petal_length",48,-1,0.0635964912280751,4.45,0
"petal_width",6,1,1.33333333333333,1.55,0
"sepal_width",6,1,0.666666666666667,2.65,0
"petal_length",6,-1,0.666666666666666,5.35,0
"sepal_length",6,-1,0.266666666666666,6.95,0
"sepal_length",0,1,0.833333333333333,6.5,0.666666666666667
"sepal_width",0,1,0.833333333333333,2.65,0.666666666666667
"sepal_length",3,-1,1.33333333333333,6.95,0
"petal_length",3,-1,1.33333333333333,5.45,0
"sepal_width",3,-1,0.333333333333333,2.85,0
"petal_width",3,1,0.333333333333333,1.65,0
"petal_length",46,-1,0.623188405797101,4.85,0
"sepal_length",46,-1,0.242236024844721,5.95,0
"petal_width",46,-1,0.123188405797101,1.85,0
"sepal_width",46,1,0.0993788819875743,3.15,0
"sepal_length",3,-1,1.33333333333333,5.95,0
"sepal_width",3,1,1.33333333333333,3.1,0
