"","var","n","wt","dev","yval","complexity","ncompete","nsurrogate"
"1","petal_length",100,100,34,1,0.602409638554217,3,3
"2","<leaf>",17,17,0,0,0,0,0
"3","petal_length",83,83,13.5180722891566,1.20481927710843,0.313191384463686,3,2
"6","sepal_length",69,69,2.8695652173913,1.04347826086957,0.0277130969194946,3,0
"12","sepal_width",68,68,1.94117647058823,1.02941176470588,0.0277130969194946,3,0
"24","sepal_length",67,67,0.985074626865671,1.01492537313433,0.014486391571554,3,0
"48","<leaf>",60,60,0,1,0,0,0
"49","sepal_length",7,7,0.857142857142857,1.14285714285714,0.014486391571554,3,0
"98","<leaf>",6,6,0,1,0,0,0
"99","<leaf>",1,1,0,2,0,0,0
"25","<leaf>",1,1,0,2,0,0,0
"13","<leaf>",1,1,0,2,0,0,0
"7","<leaf>",14,14,0,2,0,0,0
