"","values.global_bins."
"A","-0.0908353992641467"
"AB","-0.82367720217526"
"ABC","-0.239582670062971"
"ABD","-0.224861654680993"
"ABE","-0.360687166164573"
"ABF","-1.39561352153226"
"ABG","-0.211865154112017"
"ABH","-0.23837160524366"
"ABI","-0.701917464491294"
"ABJ","0.604872678025525"
"ABK","0.228542871929621"
"ABL","-1.37577540377618"
"ABM","0.43678807205986"
"ABN","-0.239830688404284"
"ABO","-0.283805628211644"
"ABP","0.513807446017252"
"ABQ","-0.449899181353203"
"ABR","-0.346873262520194"
"ABS","-0.729976843065097"
"ABT","-0.324236605301963"
"ABU","-0.643074542843404"
"ABV","0.0761876749357891"
"ABW","-0.936970945654901"
"ABX","-0.263958377051411"
"ABY","-0.539063478779719"
"ABZ","-0.811570877016932"
"AC","-0.412735444201391"
"ACD","-0.387648393336021"
"ACE","0.574910752868166"
"ACF","-0.401337037472969"
"ACG","0.452287225572426"
"ACH","-1.17520490726174"
"ACI","1.15970263825661"
"ACJ","-0.676170072542325"
"ACK","0.569401266330319"
"ACL","0.159267817870737"
"ACM","-0.76387151331304"
"ACN","-0.388903430065837"
"ACO","-0.034280641356753"
"ACP","-0.136097153249433"
"ACQ","-0.0901688082886058"
"ACR","-0.676441204801674"
"ACS","0.277080040622089"
"ACT","-0.426983328520372"
"ACU","-0.119884933169038"
"ACV","-0.80307070421338"
"ACW","-0.388314006295003"
"ACX","-0.46271531364115"
"ACY","0.0878096333951801"
"ACZ","-0.26295295463766"
"AD","-0.466080144412946"
"ADE","-0.582388500071051"
"ADF","-0.71162090815192"
"ADG","-0.299229522050236"
"ADH","0.00861552602452403"
"ADI","-0.376440258745193"
"ADJ","-0.744094643049181"
"ADK","-0.401938010699956"
"ADL","0.110945475324851"
"ADM","-0.790759374765678"
"ADN","-0.141121457223139"
"ADO","0.42724260980525"
"ADP","-0.00732042713180093"
"ADQ","0.273703274596291"
"ADR","-0.437465663118339"
"ADS","0.0304892516112389"
"ADT","-0.512071693494874"
"ADU","-0.953491039075334"
"ADV","-0.372618036534704"
"ADW","-0.781736359364318"
"ADX","-0.0328096785037054"
"ADY","-0.575091614327393"
"ADZ","0.293779244298037"
"AE","-0.130804881899456"
"AEF","-0.253180854201779"
"AEG","0.566807943945685"
"AEH","-0.683993647711768"
"AEI","0.47312079797082"
"AEJ","0.444813337339989"
"AEK","0.169070992421948"
"AEL","-0.310434075201543"
"AEM","-0.418668198262182"
"AEN","0.102210040251113"
"AEO","-0.562421942702751"
"AEP","-0.153022419538084"
"AEQ","-0.948684611616531"
"AER","-0.165451294259505"
"AES","0.466308699054324"
"AET","0.11553357332324"
"AEU","-0.14922761494048"
"AEV","-0.490156418533188"
"AEW","-0.0224931031800223"
"AEX","0.357804544479906"
"AEY","0.280360972459804"
"AEZ","0.283694717991782"
"AF","-0.777050667908795"
"AFG","-1.30685957608085"
"AFH","0.0928871467619735"
"AFI","0.669448177380182"
"AFJ","-0.568428239023927"
"AFK","-0.697300556034978"
"AFL","-0.718351122332107"
"AFM","-0.123026794425592"
"AFN","-0.814226532586499"
"AFO","-0.264053455710638"
"AFP","0.0946182424490616"
"AFQ","-0.750335753481873"
"AFR","-0.438133339737793"
"AFS","-1.10140027095534"
"AFT","0.285539976940757"
"AFU","-0.162817355715573"
"AFV","-0.615900576017885"
"AFW","-0.442276156729436"
"AFX","-0.817219581603927"
"AFY","-0.649959450295216"
"AFZ","-0.0604121895995143"
"AG","-0.755545075337961"
"AGH","-0.259831821152535"
"AGI","0.0792360082144752"
"AGJ","-0.40066543612371"
"AGK","-0.376347201422582"
"AGL","-0.863842335023669"
"AGM","-0.234272420845677"
"AGN","-0.669474484364292"
"AGO","0.362817395980862"
"AGP","-0.558386537626528"
"AGQ","0.279881624853557"
"AGR","-0.00921582310036193"
"AGS","-0.773152217270769"
"AGT","-0.979309801590888"
"AGU","-0.0838680541714279"
"AGV","0.595968611145489"
"AGW","-0.448903222206967"
"AGX","0.646950220055333"
"AGY","0.147478546212072"
"AGZ","-0.968047575095031"
"AH","0.800433399575747"
"AHI","-0.223907684232158"
"AHJ","-0.38946807393529"
"AHK","-1.1098705937172"
"AHL","-0.352865014201751"
"AHM","-0.68293975795852"
"AHN","-0.246521170049133"
"AHO","0.311812756526551"
"AHP","-0.607486562828479"
"AHQ","-0.726033964985155"
"AHR","-0.466955132367287"
"AHS","-0.387047420109033"
"AHT","0.727377017651684"
"AHU","0.384746747206585"
"AHV","-0.0396966149119335"
"AHW","0.315727007020548"
"AHX","-0.777972728262753"
"AHY","-0.154231464345921"
"AHZ","-0.583531944274588"
"AI","-0.448896425372816"
"AIJ","-0.400064462896722"
"AIK","0.578504489836093"
"AIL","0.158228295303273"
"AIM","-0.645891662812322"
"AIN","0.285418038931577"
"AIO","0.198308404866194"
"AIP","0.585721568150789"
"AIQ","-1.46931564763661"
"AIR","0.154505341796053"
"AIS","-0.451209537366235"
"AIT","0.487411924740282"
"AIU","-0.481351322276868"
"AIV","-0.291803572268574"
"AIW","-0.401920472853527"
"AIX","-0.441608480109981"
"AIY","-0.178508018979428"
"AIZ","-0.0387514625663005"
"AJ","-0.935850053361298"
"AJK","-0.365533145491149"
"AJL","-0.778180365119919"
"AJM","-0.0296531313896903"
"AJN","-0.824926709511009"
"AJO","-1.36398985451242"
"AJP","-0.120426507694703"
"AJQ","-1.27995783311768"
"AJR","0.222387266550533"
"AJS","-0.00507957602564979"
"AJT","0.273446882293075"
"AJU","0.378003039134966"
"AJV","-0.638973557781198"
"AJW","-0.00476003820172083"
"AJX","0.136876073081746"
"AJY","-0.627780887292541"
"AJZ","-0.744984168823035"
"AK","-0.507214547656513"
"AKL","0.253128443047418"
"AKM","-0.721019667146313"
"AKN","0.107007428380151"
"AKO","-0.787207691969074"
"AKP","0.708995559796114"
"AKQ","-0.405366304298826"
"AKR","-0.961335965382919"
"AKS","-1.10541583048657"
"AKT","-1.03530641668164"
"AKU","1.05173473578678"
"AKV","0.64451583719822"
"AKW","0.00477778306719007"
"AKX","-0.391823073704632"
"AKY","-0.644865599932762"
"AKZ","0.099768440610245"
"AL","-1.01476291255753"
"ALM","0.651530855501987"
"ALN","0.433315740310766"
"ALO","-0.194665298217878"
"ALP","-0.116960920583514"
"ALQ","-0.449305324306901"
"ALR","0.509342823638768"
"ALS","-0.575793705629415"
"ALT","-0.0575839321315189"
"ALU","-0.265447383951889"
"ALV","-0.779946359736674"
"ALW","-0.242756877787891"
"ALX","-1.04202618947753"
"ALY","-0.405290779459028"
"ALZ","0.0661235745698948"
"AM","0.0663581922314372"
"AMN","0.213694048157837"
"AMO","-0.733393234441855"
"AMP","0.513283383018077"
"AMQ","0.108724964269359"
"AMR","0.438991262734739"
"AMS","-1.04450926364858"
"AMT","0.363400442737429"
"AMU","-0.733625534783374"
"AMV","-0.322470972649472"
"AMW","-0.151312898390853"
"AMX","-0.555058687025336"
"AMY","0.349256580766264"
"AMZ","0.485435910892614"
"AN","-0.862184933316794"
"ANO","-0.451917880139715"
"ANP","-0.414576737811813"
"ANQ","-1.11049814951303"
"ANR","-0.178412940320201"
"ANS","-0.135788524368938"
"ANT","0.0259118218305077"
"ANU","-0.639929269406795"
"ANV","-2.00199772584872"
"ANW","-0.805262581607883"
"ANX","-0.0533332306499134"
"AO","-0.106764613636005"
"AP","-1.50488354894853"
"AQ","-0.296177292587092"
"AR","-0.972151381099489"
"AS","-0.200537399657469"
"AT","-0.355285668028009"
"AU","-0.421527971160028"
"AV","-0.815197975964392"
"AW","-0.199244959133388"
"AX","-0.0995887956294695"
"AY","-0.107982658295123"
"AZ","0.122102021071086"
"B","0.629875056880473"
"BC","0.0815182496969176"
"BD","-0.452405913611416"
"BE","-0.249060029933837"
"BF","-0.144342813680162"
"BG","-1.27558249068431"
"BH","-0.466673502067769"
"BI","-0.100064266560994"
"BJ","0.0601140195114611"
"BK","-1.25110820132899"
"BL","0.104403410329159"
"BM","0.295289746511866"
"BN","-0.150682086249815"
"BO","-0.147216499138627"
"BP","-0.331350739583867"
"BQ","-0.971864729165306"
"BR","-0.711476728408975"
"BS","-1.40869216571847"
"BT","-0.664318155956403"
"BU","-1.32490386467116"
"BV","-0.75120801323183"
"BW","-0.322545084409578"
"BX","0.559691550744485"
"BY","-0.358419011209245"
"BZ","-0.251057360447521"
"C","-0.436438478122984"
"CD","-0.403193047429773"
"CE","-0.755337438480794"
"CF","-0.786596771418816"
"CG","-0.7764773809501"
"CH","-0.309917946740412"
"CI","0.214894277378043"
"CJ","-0.0484592602978058"
"CK","-0.509947575289744"
"CL","-0.758175053696076"
"CM","-0.128891310597323"
"CN","-0.0932132783484987"
"CO","0.411989342018445"
"CP","-0.663424723889443"
"CQ","-0.680667154852949"
"CR","0.202454651981558"
"CS","0.0845035754799869"
"CT","-0.427397115594666"
"CU","-0.784250889015713"
"CV","0.694229819404178"
"CW","-0.538099331517057"
"CX","-1.20967193187252"
"CY","-0.906922738339469"
"CZ","-0.146923099049858"
"D","-0.614761943240197"
"DE","0.490089666898764"
"DF","-1.35673957359533"
"DG","-0.353987396802098"
"DH","0.117509940757198"
"DI","-0.803589732094154"
"DJ","-0.764167806509215"
"DK","0.152832550400594"
"DL","-0.0764840438904402"
"DM","-0.460046436590238"
"DN","-0.412134470974404"
"DO","0.47753486036828"
"DP","0.12092931822592"
"DQ","-0.415513104671119"
"DR","-0.734917038397994"
"DS","0.0826393110632659"
"DT","0.0920541723267904"
"DU","0.572820077327705"
"DV","-0.917141732145003"
"DW","-0.369493156643499"
"DX","-0.437426201523564"
"DY","-0.161360198971937"
"DZ","-0.740139592732542"
"E","-0.707554393552085"
"EF","-0.276881550175983"
"EG","0.0796514846839587"
"EH","-0.632968745875247"
"EI","-0.995202888168253"
"EJ","-0.416247104377244"
"EK","0.605646138456449"
"EL","0.100013987351741"
"EM","-0.680322932210651"
"EN","-0.373145113414405"
"EO","-0.773367686195388"
"EP","-0.205482088144616"
"EQ","-0.265368672616173"
"ER","0.515936396849111"
"ES","-0.377922325246239"
"ET","-0.299829249357998"
"EU","-0.34335600537536"
"EV","-0.658666224474148"
"EW","0.110016276308953"
"EX","0.0900918748776225"
"EY","-0.771158414257453"
"EZ","0.602342815700964"
"F","-0.162577780737975"
"FG","-0.278157402376869"
"FH","0.481575522743234"
"FI","-0.419655921662762"
"FJ","-1.0219408640249"
"FK","-0.253932312737161"
"FL","-0.823299371804605"
"FM","-0.511367798332064"
"FN","-0.766139604832356"
"FO","-0.4279865393655"
"FP","0.21968835561877"
"FQ","-0.364943721720314"
"FR","-1.16645858109861"
"FS","-0.848793422358839"
"FT","0.161550059353179"
"FU","-0.674128381398032"
"FV","-0.469688160000517"
"FW","-0.709261996654128"
"FX","0.0922887899883327"
"FY","0.0475831807052069"
"FZ","-0.353465987428739"
"G","-0.311075639704665"
"GH","0.580650505541356"
"GI","-0.458182383725602"
"GJ","-0.229605339260239"
"GK","2.35522391566093"
"GL","-0.111448245406311"
"GM","-0.164859532706875"
"GN","-0.581745001549561"
"GO","0.267772287909537"
