"","values.global_bins."
"A","(5)"
"AB","201946.5"
"ABC","46568"
"ABD","340086"
"ABE","261918"
"ABF","185987"
"ABG","583362"
"ABH","8176.5"
"ABI","26488"
"ABJ","136663"
"ABK","217960.5"
"ABL","409649.5"
"ABM","270884"
"ABN","2077.5"
"ABO","85373"
"ABP","215278.5"
"ABQ","132206"
"ABR","221416"
"ABS","318505"
"ABT","69416"
"ABU","291649.5"
"ABV","168807"
"ABW","148495"
"ABX","7042"
"ABY","42366"
"ABZ","400833"
"AC","34.5"
"ACD","412998"
"ACE","5681"
"ACF","51"
"ACG","284284"
"ACH","326.5"
"ACI","155163.5"
"ACJ","64"
"ACK","140683.5"
"ACL","60100"
"ACM","142199"
"ACN","285897.5"
"ACO","61.5"
"ACP","4099"
"ACQ","73848.5"
"ACR","1738.5"
"ACS","165877"
"ACT","5217.5"
"ACU","1779.5"
"ACV","203995"
"ACW","192941"
"ACX","4225"
"ACY","162842"
"ACZ","196985"
"AD","1969"
"ADE","86092"
"ADF","3483"
"ADG","81585"
"ADH","5857"
"ADI","218310"
"ADJ","205201.5"
"ADK","187184.5"
"ADL","5969.5"
"ADM","204338"
"ADN","227839.5"
"ADO","102166"
"ADP","4750"
"ADQ","323650"
"ADR","29855.5"
"ADS","164561.5"
"ADT","319374.5"
"ADU","77146.5"
"ADV","224476.5"
"ADW","29"
"ADX","90478.5"
"ADY","782"
"ADZ","171995"
"AE","1551.5"
"AEF","1979.5"
"AEG","65.5"
"AEH","141605"
"AEI","293480.5"
"AEJ","172647"
"AEK","166987.5"
"AEL","(33)"
"AEM","178023"
"AEN","285904"
"AEO","278693.5"
"AEP","147723"
"AEQ","187629.5"
"AER","40889.5"
"AES","229845.5"
"AET","205505.5"
"AEU","60087"
"AEV","4144.5"
"AEW","322125"
"AEX","(21)"
"AEY","231305.5"
"AEZ","54011"
"AF","1784.5"
"AFG","48019"
"AFH","122774"
"AFI","2490"
"AFJ","34252"
"AFK","447291.5"
"AFL","1752"
"AFM","123729.5"
"AFN","311972"
"AFO","3808"
"AFP","79.5"
