"","x"
"A","3.5"
"B","4"
"C","5.5"
"D","6.5"
"E","7"
"F","7.5"
"G","8"
"H","8.5"
"I","9.5"
"J","10.5"
"K","11.5"
"L","12"
"M","12.5"
"N","13.5"
"O","14.5"
"P","15.5"
"Q","24.5"
"R","25.5"
"S","26"
"T","26.5"
"U","27"
"V","27.5"
"W","28.5"
"X","29"
"Y","29.5"
"Z","30"
"AB","30.5"
"AC","31.5"
"AD","32"
"AE","32.5"
"AF","33.5"
"AG","34"
"AH","34.5"
"AI","35"
"AJ","35.5"
"AK","36"
"AL","36.5"
"AM","37"
"AN","37.5"
"AO","38"
"AP","38.5"
"AQ","39"
"AR","39.5"
"AS","40"
"AT","40.5"
"AU","41"
"AV","41.5"
"AW","42.5"
"AX","43"
"AY","43.5"
"AZ","44"
"BC","44.5"
"BD","45"
"BE","45.5"
"BF","46.5"
"BG","47"
"BH","47.5"
"BI","48"
"BJ","48.5"
"BK","49"
"BL","49.5"
"BM","50"
"BN","51"
"BO","52"
"BP","52.5"
"BQ","53.5"
"BR","54"
"BS","57.5"
"BT","58"
"BU","59.5"
"BV","61"
"BW","61.5"
"BX","62.5"
"BY","64"
"BZ","65"
"CD","67.5"
"CE","68.5"
"CF","71"
"CG","72.5"
"CH","73.5"
"CI","91.5"
"CJ","742.5"
"CK","836"
"CL","951"
"CM","1706"
"CN","1794"
"CO","1808"
"CP","1821"
"CQ","1889"
"CR","2193"
"CS","4021.5"
"CT","4347.5"
"CU","7073.5"
"CV","31382"
"CW","40732"
"CX","43549"
"CY","45272.5"
"CZ","46974"
"DE","47189.5"
"DF","49737.5"
"DG","53933"
"DH","63041.5"
"DI","70083"
"DJ","81207"
"DK","86804.5"
"DL","89625.5"
"DM","101419"
"DN","103585.5"
"DO","107873.5"
"DP","110182"
"DQ","110842"
"DR","110871.5"
"DS","112058.5"
"DT","121633"
"DU","124925.5"
"DV","126058"
"DW","128739.5"
"DX","130849"
"DY","130881.5"
"DZ","136997.5"
"EF","141975.5"
"EG","144329.5"
"EH","144909"
"EI","146459.5"
"EJ","147167"
"EK","147281.5"
"EL","155511"
"EM","156762"
"EN","158968.5"
"EO","159737"
"EP","164471.5"
"EQ","167514.5"
"ER","169580.5"
"ES","170224"
"ET","171316"
"EU","173485.5"
"EV","181843"
"EW","182776.5"
"EX","184615"
"EY","185868.5"
"EZ","188302.5"
"FG","188922.5"
"FH","191114"
"FI","195690.5"
"FJ","198374.5"
"FK","203084.5"
"FL","205244.5"
"FM","209045.5"
"FN","209722"
"FO","210975.5"
"FP","213112.5"
"FQ","215256.5"
"FR","222206"
"FS","222566.5"
"FT","223993.5"
"FU","230799.5"
"FV","232150.5"
"FW","239044"
"FX","239349"
"FY","239423.5"
"FZ","243525.5"
"GH","246029.5"
"GI","247903.5"
"GJ","251230"
"GK","251744"
"GL","265237"
"GM","265347.5"
"GN","267687"
"GO","267758"
"GP","282949.5"
"GQ","302235"
"GR","310630.5"
"GS","311146.5"
"GT","314661.5"
"GU","315754"
"GV","326575.5"
"GW","333314"
"GX","336290"
"GY","343696.5"
"GZ","344750.5"
"HI","349014"
"HJ","349950.5"
"HK","354626"
"HL","355258"
"HM","363573.5"
"HN","364253"
"HO","422600"
"HP","521941.5"
"HQ","(1)"
"HR","(2)"
"HS","(3)"
"HT","(4)"
"HU","(5)"
"HV","(6)"
"HW","(7)"
"HX","(8)"
"HY","(9)"
"HZ","(10)"
"IJ","(11)"
"IK","(12)"
"IL","(13)"
"IM","(14)"
"IN","(15)"
"IO","(16)"
"IP","(17)"
"IQ","(18)"
"IR","(19)"
"IS","(20)"
"IT","(21)"
"IU","(22)"
"IV","(23)"
"IW","(24)"
"IX","(25)"
"IY","(26)"
"IZ","(27)"
"JK","(28)"
"JL","(29)"
"JM","(30)"
"JN","(31)"
"JO","(32)"
"JP","(33)"
"JQ","(34)"
"JR","(35)"
"JS","(36)"
"JT","(37)"
"JU","(38)"
"JV","(39)"
"JW","(40)"
"JX","(41)"
"JY","(42)"
