"","values.global_bins."
"A","(2)"
"AB","-0.229265339663578"
"AC","-1.09515729850908"
"AD","-1.52808424546715"
"AE","(7)"
"AF","(3)"
"AG","0.120712586920118"
"AH","1.32279571401887"
"AI","0.956882020014949"
"AJ","-0.499343751364685"
"AK","1.46919982383245"
"AL","2.1685871660438"
"AM","0.920133692351367"
"AN","-0.111654503410737"
"AO","0.668255354327626"
"AP","1.26690789416286"
"AQ","-0.421805901773895"
"AR","2.85522847203614"
"AS","2.48192862531591"
"AT","3.16102584234522"
"AU","2.02221333075442"
"AV","-0.46057482656929"
"AW","3.17032032729502"
"AX","-0.568447501291392"
"AY","1.38050607704299"
"AZ","1.55540926279124"
"B","1.86165439064065"
"BC","1.96420284024481"
"BD","3.464571235797"
"BE","0.999244425717753"
"BF","-0.266730202592316"
"BG","-0.227961277796921"
"BH","2.7154332360856"
"BI","0.575620368689708"
"BJ","1.24525786442808"
"BK","1.66655780399791"
"BL","0.194358717364467"
"BM","0.790370604555004"
"BN","0.741261842087949"
"BO","-0.673681068030391"
"BP","2.18256668963886"
"BQ","-0.125000903392904"
"BR","-0.770726224932448"
"BS","-0.907063830908451"
"BT","1.76174191318188"
"BU","1.0901821652465"
"BV","2.05101551925514"
"BW","2.99027749374957"
"BX","-0.0911166028076507"
"BY","-0.53811267616008"
"BZ","-1.06084683857265"
"C","(12)"
"CD","-1.09222976905318"
"CE","-0.695251802394428"
"CF","1.4228684827458"
"CG","-0.278997965795506"
"CH","0.0596557963378586"
"CI","-1.30643969335454"
"CJ","1.57296703350491"
"CK","1.63468051125982"
"CL","-0.0728855786153421"
"D","(9)"
"E","(5)"
"F","1.94309851074519"
"G","(1)"
"H","(16)"
"I","(11)"
"J","(6)"
"K","0.647033082928757"
"L","(4)"
"M","-1.20150258529462"
"N","0.831075687964131"
"O","-1.35721750648038"
"P","1.31984424506699"
"Q","0.404494637085661"
"R","(8)"
"S","-0.654419450546264"
"T","0.857568616474133"
"U","1.826791736359"
"V","(13)"
"W","-0.344268052183106"
"X","1.71955479778262"
"Y","(15)"
"Z","3.52479453807462"
