"","matrix.ncol...1..nrow...1000."
"1","8A0,11B0,4C0,12D0,7A0,13E0,1F1"
"2","11G0,4C0,13H0,8I0,12J0,13K0"
"3","8A0,11L0,12M0,13N0,7O0"
"4","11P0,7O0,2Q0,3R0,4A0,8I0"
"5","8S0,11P0,12T0,4C0,2Q0,14S0,13U0,7V0,7V0"
"6","8S0,11W0,12X0,4Y0,1Z0,6AB0,7Q0,3AC1"
"7","8A0,11AD0,4O0,12AE0,2Q0,7AF0,1AG0,13AH0"
"8","7Q1,6AB1,4AI1,1AJ0,3AK1,3AL0"
"9","11P1,4Y1,3AM0"
"10","11G1,6AB1,1AN0"
"11","13AO1,1AP0"
"12","14AQ1,3AR0,3AS1"
"13","8AT0,11AD0,12AU0,7A0,13AG0"
"14","6Q0,11W0,4AV0,12AW0,7Y0,3AX1"
"15","7AY0,11G0,1K0,8I0,4S0,2Q0,7AY0"
"16","6Q0,11AZ0,13AH0,12AU0,3BC1,11BD0,7S0"
"17","8Q0,11AD0,4AI0,12BE0,13BF0,6Q0,13BG1,3BH0"
"18","11G0,7Y0,4A0,13BI0"
"19","4Y1,8Q1,1BJ1,3BK1"
"20","4V1,3BL1,1BM1"
"21","8Q0,11AD0,4AI0,1BN0,12BO0,14BP0,7AF0"
"22","11G0,7S0,7S0,1BQ0,4O0"
"23","11G0,7AY0,4A0,7AY0"
"24","6I0,11BR0,4AI0,7BS0,4AI0"
"25","8I1,7BS1,1BQ1,3BT1,13BU1,14BP1,1AJ0,13BV0"
"26","8AT0,11B0,13BW0,7AT0,3BX0"
"27","8A0,11AD0,4AI0,3BY1,7Q0,4AI0,1BZ0,3CD1,7Q0"
"28","11G0,13CE0,4AI0,12CF0,7AT0,2Q0,14BP0,3CG1,2Q0,1CH0,8I0,7AT0,7AT0"
"29","8A0,11CI0,7AI0,4AV0,7AI0"
"30","6Q0,13U0,12CJ0,11CK0,6Q0,4CL0,2Q0"
"31","8AT0,11AD0,13CE0,4C0,8AT0"
"32","8AT0,11CM0,2A0,7A0,13BI0,6AB0,13CN0"
"33","11CO0,1CP0,9AB0,8I0,1CQ0,7AF0"
"34","6Q0,11CR0,13BW0,14CS0,7AV0,14CS0,2Q0"
"35","8AT0,11L0,13U0,4CL0,12CT0,14BP0,1BW0"
"36","6A0,11AD0,14BP0,12CU0,4AI0,11CV0,1CW0,2Q0,7A0,7A0"
"37","11P0,4AV0,7V0,12CX0,13CY0,14BP0,2O0,4AV0,9Q0"
"38","11G0,7AV0,14BP0,12X0,11CZ0,4O0,4O0"
"39","11DE0,4C0,7V0,13BJ0,3DF0,14BP0,4C0,2O0"
"40","11G0,1CQ0,6AB0,14BP0,1DG0"
"41","6S0,11B0,4AI0,13E0,4AI0"
"42","8A0,11DH0,12AW0,4AI0,7O0,6Q0,2Q0,6Q0"
"43","2A1,3DI1"
"44","11G0,7AV0,13CE0,2Q0,12DJ0,6AB0,14BP0,7AV0,3DK1,1DL0"
"45","8Q0,11DM0,13BJ0,14BP0,14BP0,2Q0,6I0,3DN0"
"46","7AT0,1BJ0,11DO0,12DP0,3DQ0,8I0,4AF0,13DR0,3DS0,3DT1,4AF0"
"47","8A0,11L0,4AF0,7V0,14BP0,6Q0,2Q0"
"48","8S0,11DU0,4CL0,7Q0,6AB0,14BP0,2Q0,7Q0,2Q0,13DV1"
"49","4AY1,6AB1,1DW1,7V1"
"50","2A1,13E1"
"51","8A0,11DX0,5DY0,14BP0,3DZ0,1EF0,2S0"
"52","7BS1,6AB1,3EG1,3EH0"
"53","7AV0,11EI0,4Q0"
"54","11W0,7AF0,1BQ0,3EJ1"
"55","7A0,11DX0,7A0,14BP0,13AG0,12X0,8I0,7A0,2Q0,1EK0"
"56","11G0,7AV0,13EL0,4AI0,3EM0,3EN1"
"57","7Y0,1DW0,6AB0,11EO0,13EP0,3EQ0,7Y0"
"58","7AY0,11ER0,13CE0,12CF0,8I0,14BP0,7AY0,2Q0,4AI0"
"59","4V1,6AB1,2Q1,1ES1,13CH0,3ET1"
"60","8A0,11EU0,4CL0,1DV0,7BS0"
"61","7AT0,1ES0,13EP0,3EV1,4AI0,8I0,7AT0,3EW1,3EX0"
"62","8A0,11EY0,14BP0,4CL0,12M0,3EZ1,4CL0"
"63","8S1,7A1,1FG1,3FH0"
"64","2S1,1FI1,1FJ0"
"65","8AT0,11FK0,4CL0,4CL0"
"66","6S0,11FL0,13FM0,12FN0,2Q0,7Y0"
"67","13FO1,7Y1,4C1"
"68","8A0,11FP0,12FQ0,4CL0,13FR0,14BP0,2Q0,3FS0,4CL0,1FT0"
