"","var","n","wt","dev","yval","complexity","ncompete","nsurrogate","yval2.","yval2.","yval2.","yval2.","yval2.","yval2.","yval2.","yval2.nodeprob"
"1","Petal.Length",100,100,56,2,0.464285714,3,3, 2.00000000,26.00000000,44.00000000,30.00000000, 0.26000000, 0.44000000, 0.30000000, 1.00000000
"2","<leaf>", 26, 26, 0,1,0.000000000,0,0, 1.00000000,26.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 0.26000000
"3","Petal.Width", 74, 74,30,2,0.464285714,3,3, 2.00000000, 0.00000000,44.00000000,30.00000000, 0.00000000, 0.59459459, 0.40540541, 0.74000000
"6","Petal.Length", 46, 46, 3,2,0.017857143,3,0, 2.00000000, 0.00000000,43.00000000, 3.00000000, 0.00000000, 0.93478261, 0.06521739, 0.46000000
"12","Sepal.Width", 45, 45, 2,2,0.017857143,3,3, 2.00000000, 0.00000000,43.00000000, 2.00000000, 0.00000000, 0.95555556, 0.04444444, 0.45000000
"24","<leaf>", 38, 38, 0,2,0.000000000,0,0, 2.00000000, 0.00000000,38.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.38000000
"25","Petal.Length",  7,  7, 2,2,0.017857143,3,1, 2.00000000, 0.00000000, 5.00000000, 2.00000000, 0.00000000, 0.71428571, 0.28571429, 0.07000000
"50","<leaf>",  5,  5, 0,2,0.000000000,0,0, 2.00000000, 0.00000000, 5.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.05000000
"51","<leaf>",  2,  2, 0,3,0.000000000,0,0, 3.00000000, 0.00000000, 0.00000000, 2.00000000, 0.00000000, 0.00000000, 1.00000000, 0.02000000
"13","<leaf>",  1,  1, 0,3,0.000000000,0,0, 3.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 1.00000000, 0.01000000
"7","Petal.Length", 28, 28, 1,3,0.008928571,3,0, 3.00000000, 0.00000000, 1.00000000,27.00000000, 0.00000000, 0.03571429, 0.96428571, 0.28000000
"14","Sepal.Length",  2,  2, 1,2,0.008928571,1,0, 2.00000000, 0.00000000, 1.00000000, 1.00000000, 0.00000000, 0.50000000, 0.50000000, 0.02000000
"28","<leaf>",  1,  1, 0,2,0.000000000,0,0, 2.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.01000000
"29","<leaf>",  1,  1, 0,3,0.000000000,0,0, 3.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 1.00000000, 0.01000000
"15","<leaf>", 26, 26, 0,3,0.000000000,0,0, 3.00000000, 0.00000000, 0.00000000,26.00000000, 0.00000000, 0.00000000, 1.00000000, 0.26000000
