"","count","ncat","improve","index","adj"
"occupation",1000,15,197.055549955142,1,0
"workclass",1000,9,182.736010599623,2,0
"relationship",1000,6,165.605842164206,3,0
"marital-status",1000,7,164.239840813523,4,0
"age",1000,-1,116.351831430423,47.5,0
"workclass",0,9,0.957,5,0.83955223880597
"fnlwgt",0,-1,0.85,267697.5,0.440298507462687
"age",0,-1,0.794,48.5,0.23134328358209
"education",0,16,0.741,6,0.0335820895522388
"marital-status",732,7,46.0000946556565,7,0
"relationship",732,6,45.3019485544723,8,0
"occupation",732,15,26.8555717459558,9,0
"hours-per-week",732,-1,26.2236509823648,43.5,0
"age",732,-1,23.4202703164477,27.5,0
"relationship",0,6,0.991803278688525,10,0.982558139534884
"sex",0,2,0.685792349726776,11,0.331395348837209
"age",0,-1,0.647540983606557,30.5,0.25
"occupation",0,15,0.639344262295082,12,0.232558139534884
"hours-per-week",0,-1,0.614754098360656,40.5,0.180232558139535
"capital-gain",388,-1,12.2737235165192,8028.5,0
"education",388,16,5.77483724417039,13,0
"education-num",388,-1,5.77483724417039,11.5,0
"occupation",388,15,4.55050752061004,14,0
"hours-per-week",388,-1,4.26321279104781,49.5,0
"education",381,16,4.55970603674541,15,0
"education-num",381,-1,4.19439083959538,13.5,0
"hours-per-week",381,-1,3.61290407325407,49.5,0
"capital-loss",381,-1,3.59005256269086,2231.5,0
"occupation",381,15,2.5012789324168,16,0
"education-num",0,-1,0.99737532808399,14.5,0.833333333333336
"capital-loss",375,-1,3.66510098302054,2231.5,0
"education",375,16,2.1842902494331,17,0
"education-num",375,-1,2.1415102527817,11.5,0
"occupation",375,15,1.97424960618931,18,0
"hours-per-week",375,-1,1.85171877584781,44,0
"hours-per-week",373,-1,2.03282642290685,44,0
"occupation",373,15,1.89701395950819,19,0
"education",373,16,1.81572504243914,20,0
"education-num",373,-1,1.77603000600412,12.5,0
"native-country",373,42,0.850169457231033,21,0
"occupation",0,15,0.833780160857909,22,0.0461538461538462
"workclass",0,9,0.831099195710456,23,0.0307692307692308
"native-country",0,42,0.828418230563003,24,0.0153846153846154
"native-country",308,42,0.942237501061054,25,0
"education",308,16,0.625541125541149,26,0
"age",308,-1,0.583930994378766,47.5,0
"education-num",308,-1,0.56513981513984,13.5,0
"occupation",308,15,0.449279059822915,27,0
"education",306,16,0.649816207941816,28,0
"education-num",306,-1,0.589302387621699,13.5,0
"age",306,-1,0.380273321449781,47.5,0
"occupation",306,15,0.280967005275989,29,0
"relationship",306,6,0.159887646518649,30,0
"education-num",0,-1,0.996732026143791,13.5,0.909090909090909
"age",295,-1,0.129744101030245,50.5,0
"occupation",295,15,0.113232233125188,31,0
"fnlwgt",295,1,0.083992467043315,118498,0
"marital-status",295,7,0.0572393770931972,32,0
"education",295,16,0.0483530540454122,33,0
"marital-status",0,7,0.88135593220339,34,0.313725490196079
"education",0,16,0.84406779661017,35,0.0980392156862749
"education-num",0,1,0.840677966101695,5.5,0.0784313725490196
"native-country",0,42,0.840677966101695,36,0.0784313725490196
"age",51,1,0.551470588235291,51.5,0
"occupation",51,15,0.509803921568627,37,0
"education",51,16,0.313725490196077,38,0
"fnlwgt",51,1,0.287581699346403,119621,0
"marital-status",51,7,0.220915032679736,39,0
"workclass",0,9,0.96078431372549,40,0.333333333333334
"occupation",48,15,0.208333333333335,41,0
"hours-per-week",48,1,0.112179487179489,35.5,0
"fnlwgt",48,1,0.0833333333333348,119621,0
"education",48,16,0.0833333333333348,42,0
"marital-status",48,7,0.058333333333334,43,0
"education",0,16,0.854166666666667,44,0.125
"age",8,1,0.416666666666667,59,0
"education",8,16,0.416666666666667,45,0
"hours-per-week",8,1,0.416666666666667,37.5,0
"fnlwgt",8,1,0.25,119621,0
"education-num",8,1,0.15,9.5,0
"education",0,16,0.75,46,0.333333333333333
"age",3,-1,1.33333333333333,57.5,0
"marital-status",3,7,1.33333333333333,47,0
"hours-per-week",3,1,1.33333333333333,37.5,0
"fnlwgt",3,-1,0.333333333333333,113858,0
"education",3,16,0.333333333333333,48,0
"fnlwgt",3,1,1.33333333333333,100116,0
"education",3,16,1.33333333333333,49,0
"marital-status",3,7,1.33333333333333,50,0
"occupation",3,15,1.33333333333333,51,0
"workclass",3,9,0.333333333333333,52,0
"age",11,-1,1.47272727272727,61,0
"marital-status",11,7,1.47272727272727,53,0
"occupation",11,15,0.606060606060606,54,0
"workclass",11,9,0.494949494949494,55,0
"fnlwgt",11,-1,0.494949494949494,322633,0
"workclass",10,9,0.8,56,0
"sex",10,2,0.8,57,0
"age",10,-1,0.466666666666666,46,0
"fnlwgt",10,1,0.2,170186,0
"marital-status",10,7,0.2,58,0
"age",2,-1,1,44,0
"fnlwgt",2,-1,1,110117.5,0
"relationship",2,6,1,59,0
"sex",2,2,1,60,0
"hours-per-week",2,-1,1,30,0
"age",2,-1,1,49,0
"workclass",2,9,1,61,0
"fnlwgt",2,-1,1,302296,0
"marital-status",2,7,1,62,0
"occupation",2,15,1,63,0
"education",65,16,3.83383207181834,64,0
"education-num",65,-1,3.83383207181834,12.5,0
"occupation",65,15,2.63736263736264,65,0
"hours-per-week",65,-1,1.45432692307692,85,0
"fnlwgt",65,-1,1.43216783216783,278737,0
"education-num",0,-1,1,12.5,1
"occupation",0,15,0.876923076923077,66,0.578947368421053
"workclass",0,9,0.738461538461539,67,0.105263157894737
"age",0,-1,0.723076923076923,53.5,0.0526315789473682
"fnlwgt",0,1,0.723076923076923,55667,0.0526315789473682
"fnlwgt",46,-1,0.968944099378881,278737,0
"occupation",46,15,0.826086956521738,68,0
"age",46,-1,0.173913043478259,35.5,0
"relationship",46,6,0.163083293518074,69,0
"sex",46,2,0.0841514726507686,70,0
"education",0,16,0.869565217391304,71,0.142857142857143
"race",0,5,0.869565217391304,72,0.142857142857143
"occupation",7,15,2.85714285714286,73,0
"age",7,-1,1.19047619047619,40.5,0
"fnlwgt",7,1,1.19047619047619,299482,0
"relationship",7,6,1.19047619047619,74,0
"education",7,16,0.257142857142857,75,0
"workclass",19,9,2.40601503759399,76,0
"age",19,-1,1.26315789473684,27.5,0
"fnlwgt",19,-1,1.26315789473684,45247,0
"marital-status",19,7,0.707602339181285,77,0
"occupation",19,15,0.707602339181285,78,0
"fnlwgt",0,-1,0.842105263157895,41422.5,0.4
"marital-status",0,7,0.789473684210526,79,0.2
"age",14,-1,2.49350649350649,27.5,0
"fnlwgt",14,-1,0.703296703296703,45247,0
"marital-status",14,7,0.571428571428571,80,0
"sex",14,2,0.571428571428571,81,0
"hours-per-week",14,-1,0.457142857142856,48.5,0
"age",11,1,0.935064935064935,38,0
"fnlwgt",11,1,0.649350649350649,224905.5,0
"occupation",11,15,0.613636363636363,82,0
"sex",11,2,0.296969696969697,83,0
"hours-per-week",11,1,0.296969696969697,52.5,0
"marital-status",0,7,0.727272727272727,84,0.25
"relationship",0,6,0.727272727272727,85,0.25
"hours-per-week",0,-1,0.727272727272727,57.5,0.25
"age",7,-1,1.82857142857143,40.5,0
"fnlwgt",7,1,1.02857142857143,86020,0
"hours-per-week",7,1,0.761904761904761,65,0
"sex",7,2,0.595238095238094,86,0
"race",7,5,0.428571428571428,87,0
"fnlwgt",0,1,0.857142857142857,224889.5,0.5
"hours-per-week",5,1,1.6,65,0
"education",5,16,0.6,88,0
"education-num",5,1,0.6,13.5,0
"sex",5,2,0.6,89,0
"age",5,1,0.266666666666667,45.5,0
"workclass",6,9,1.33333333333333,90,0
"hours-per-week",6,-1,1.33333333333333,52.5,0
"age",6,-1,1.06666666666667,45,0
"occupation",6,15,1.06666666666667,91,0
"fnlwgt",6,-1,0.666666666666667,192745,0
"fnlwgt",0,-1,0.833333333333333,177489.5,0.666666666666667
"hours-per-week",0,-1,0.833333333333333,57.5,0.666666666666667
"age",0,-1,0.666666666666667,49.5,0.333333333333333
"marital-status",0,7,0.666666666666667,92,0.333333333333333
"sex",0,2,0.666666666666667,93,0.333333333333333
"fnlwgt",3,1,1.33333333333333,105887.5,0
"sex",3,2,1.33333333333333,94,0
"hours-per-week",3,-1,1.33333333333333,52.5,0
"age",3,-1,0.333333333333333,46,0
"marital-status",3,7,0.333333333333333,95,0
"occupation",344,15,21.8464373971804,96,0
"education",344,16,15.4523414179179,97,0
"education-num",344,-1,15.3172733879493,12.5,0
"hours-per-week",344,-1,10.3399670640162,44.5,0
"age",344,-1,8.91380758687771,33.5,0
"education",0,16,0.723837209302326,98,0.431137724550898
"education-num",0,-1,0.706395348837209,9.5,0.395209580838323
"hours-per-week",0,-1,0.595930232558139,47,0.167664670658682
"relationship",0,6,0.581395348837209,99,0.137724550898204
"sex",0,2,0.581395348837209,100,0.137724550898204
"education",177,16,4.70171285086539,101,0
"age",177,-1,4.23108501267851,34.5,0
"capital-loss",177,-1,4.11864406779661,924,0
"education-num",177,-1,4.06813901729156,8.5,0
