"","x"
"A","7"
"B","7.5"
"C","8"
"D","8.5"
"E","9.5"
"F","10"
"G","10.5"
"H","11.5"
"I","12"
"J","12.5"
"K","13.5"
"L","14"
"M","14.5"
"N","15"
"O","23.5"
"P","24"
"Q","25.5"
"R","26"
"S","28"
"T","29"
"U","29.5"
"V","30"
"W","30.5"
"X","31"
"Y","31.5"
"Z","32"
"AB","32.5"
"AC","33.5"
"AD","34.5"
"AE","35"
"AF","35.5"
"AG","36"
"AH","36.5"
"AI","37"
"AJ","37.5"
"AK","38"
"AL","38.5"
"AM","39"
"AN","39.5"
"AO","40"
"AP","40.5"
"AQ","41"
"AR","41.5"
"AS","42"
"AT","42.5"
"AU","43"
"AV","44"
"AW","44.5"
"AX","45"
"AY","45.5"
"AZ","46.5"
"BC","47"
"BD","47.5"
"BE","48"
"BF","49"
"BG","49.5"
"BH","50"
"BI","50.5"
"BJ","51.5"
"BK","52"
"BL","52.5"
"BM","53"
"BN","53.5"
"BO","55"
"BP","55.5"
"BQ","56"
"BR","56.5"
"BS","57"
"BT","57.5"
"BU","58.5"
"BV","59"
"BW","59.5"
"BX","60"
"BY","62.5"
"BZ","65"
"CD","65.5"
"CE","66.5"
"CF","69"
"CG","75.5"
"CH","297"
"CI","326.5"
"CJ","742.5"
"CK","836"
"CL","870"
"CM","943.5"
"CN","1317.5"
"CO","1547"
"CP","1568.5"
"CQ","1631"
"CR","1779.5"
"CS","1794"
"CT","1803"
"CU","1813.5"
"CV","1952"
"CW","4225"
"CX","5095.5"
"CY","6376.5"
"CZ","30560"
"DE","34685.5"
"DF","36286.5"
"DG","40755"
"DH","50161"
"DI","50566"
"DJ","53395.5"
"DK","58109.5"
"DL","61614"
"DM","64991"
"DN","70686"
"DO","72282"
"DP","74198"
"DQ","82858"
"DR","90065"
"DS","90474"
"DT","92619"
"DU","105268.5"
"DV","105923.5"
"DW","115089"
"DX","117726.5"
"DY","117941"
"DZ","118308.5"
"EF","118957.5"
"EG","122958.5"
"EH","124569"
"EI","130066"
"EJ","136685.5"
"EK","140278.5"
"EL","145137.5"
"EM","145273"
"EN","148224"
"EO","151346"
"EP","153574.5"
"EQ","154242.5"
"ER","154685"
"ES","155347.5"
"ET","156450.5"
"EU","160488"
"EV","166324"
"EW","166402"
"EX","172680"
"EY","173882"
"EZ","173900"
"FG","176179.5"
"FH","178164.5"
"FI","178684"
"FJ","179727.5"
"FK","180897.5"
"FL","181298.5"
"FM","181495"
"FN","181613.5"
"FO","182900.5"
"FP","185213"
"FQ","191656"
"FR","192433.5"
"FS","192461.5"
"FT","193332.5"
"FU","194011.5"
"FV","194580.5"
"FW","196818"
"FX","197297"
"FY","198426"
"FZ","206067.5"
"GH","206275"
"GI","207400.5"
"GJ","209258.5"
"GK","212513.5"
"GL","221517.5"
"GM","222766"
"GN","223440.5"
"GO","225131.5"
"GP","225536.5"
"GQ","226639"
"GR","227507"
"GS","231193"
"GT","232397"
"GU","233876.5"
"GV","234508"
"GW","235833.5"
"GX","238557.5"
"GY","245174"
"GZ","253470"
"HI","267569"
"HJ","274158.5"
"HK","283161.5"
"HL","298571"
"HM","311683"
"HN","315835"
"HO","333323"
"HP","335880"
"HQ","366290.5"
"HR","421990"
"HS","443224"
"HT","452450"
"HU","490005"
"HV","(1)"
"HW","(2)"
"HX","(3)"
"HY","(4)"
"HZ","(5)"
"IJ","(6)"
"IK","(7)"
"IL","(8)"
"IM","(9)"
"IN","(10)"
"IO","(11)"
"IP","(12)"
"IQ","(13)"
"IR","(14)"
"IS","(15)"
"IT","(16)"
"IU","(17)"
"IV","(18)"
"IW","(19)"
"IX","(20)"
"IY","(21)"
"IZ","(22)"
"JK","(23)"
"JL","(24)"
"JM","(25)"
"JN","(26)"
"JO","(27)"
"JP","(28)"
"JQ","(29)"
"JR","(30)"
"JS","(31)"
"JT","(32)"
"JU","(33)"
"JV","(34)"
"JW","(35)"
"JX","(36)"
"JY","(37)"
"JZ","(38)"
"KL","(39)"
"KM","(40)"
"KN","(41)"
"KO","(42)"
