"","count","ncat","improve","index","adj"
"education",1000,16,40.1736192332684,1,0
"education-num",1000,-1,40.1736192332684,11.5,0
"capital-gain",1000,-1,38.7577399765617,6376.5,0
"occupation",1000,15,36.2064495117127,2,0
"hours-per-week",1000,-1,27.0222222222222,43.5,0
"education-num",0,-1,1,11.5,1
"occupation",0,15,0.863,3,0.278947368421052
"capital-gain",0,-1,0.818,5316.5,0.0421052631578942
"native-country",0,42,0.817,4,0.0368421052631574
"hours-per-week",0,1,0.812,5.5,0.0105263157894737
"capital-gain",810,-1,16.5930474333983,5095.5,0
"hours-per-week",810,-1,10.0809948085078,42.5,0
"occupation",810,15,8.11145838112543,5,0
"capital-loss",810,-1,7.0101844155044,1814,0
"education",810,16,6.13294009449703,6,0
"hours-per-week",798,-1,8.50981004355353,42.5,0
"capital-loss",798,-1,7.27794803464354,1814,0
"occupation",798,15,5.78183471114451,7,0
"age",798,1,4.43032959962895,61.5,0
"marital-status",798,7,4.14096836293629,8,0
"native-country",0,42,0.854636591478697,9,0.0169491525423732
"workclass",0,9,0.853383458646617,10,0.008474576271187
"occupation",680,15,4.31760676873489,11,0
"capital-loss",680,-1,3.06372549019613,1821.5,0
"native-country",680,42,2.46768196893004,12,0
"education",680,16,2.35880604380688,13,0
"education-num",680,-1,2.35880604380688,9.5,0
"native-country",0,42,0.866176470588235,14,0.0520833333333339
"age",0,-1,0.861764705882353,82,0.020833333333334
"capital-gain",0,-1,0.861764705882353,4579,0.020833333333334
"workclass",0,9,0.860294117647059,15,0.0104166666666674
"native-country",584,42,1.90183627434859,16,0
"education",584,16,1.43479167002814,17,0
"education-num",584,-1,1.43479167002814,10.5,0
"relationship",584,6,1.23294855829107,18,0
"hours-per-week",584,-1,0.698467735882762,34.5,0
"education",583,16,1.45937585910867,19,0
"education-num",583,-1,1.45937585910867,10.5,0
"relationship",583,6,1.25143364384351,20,0
"hours-per-week",583,-1,0.599862497366249,34.5,0
"fnlwgt",583,-1,0.577041067802281,577903.5,0
"education-num",0,-1,1,10.5,1
"relationship",565,6,0.676648329745706,21,0
"capital-loss",565,-1,0.600940593539725,1821.5,0
"hours-per-week",565,-1,0.442830448119047,34.5,0
"age",565,1,0.342881810613303,55.5,0
"occupation",565,15,0.313131093501177,22,0
"capital-loss",555,-1,0.613572267920103,1821.5,0
"hours-per-week",555,-1,0.296118340562774,34.5,0
"fnlwgt",555,1,0.236878906841369,190552.5,0
"capital-gain",555,-1,0.233915771871951,2994,0
"age",555,1,0.228150731376505,55.5,0
"capital-gain",552,-1,0.240288145573317,2994,0
"hours-per-week",552,-1,0.230797101449244,34.5,0
"fnlwgt",552,1,0.204816709292404,33395.5,0
"age",552,1,0.177536231884028,55.5,0
"capital-loss",552,-1,0.177282675421022,742.5,0
"fnlwgt",545,1,0.210999777903039,33395.5,0
"capital-loss",545,-1,0.183395712568625,742.5,0
"hours-per-week",545,-1,0.17690278379337,34.5,0
"age",545,1,0.148045550280221,52.5,0
"education",545,16,0.0955628642317254,23,0
"native-country",0,42,0.987155963302752,24,0.125000000000004
"capital-loss",537,-1,0.189718413182128,742.5,0
"hours-per-week",537,-1,0.127154447534471,34.5,0
"age",537,1,0.106890130353838,52.5,0
"occupation",537,15,0.103456575989242,25,0
"education",537,16,0.101526145679536,26,0
"education",528,16,0.107814992025487,27,0
"hours-per-week",528,-1,0.0841903194844233,34.5,0
"age",528,1,0.0710811821922803,52.5,0
"fnlwgt",528,-1,0.0484848484848577,222581.5,0
"occupation",528,15,0.0412457912457764,28,0
"fnlwgt",513,-1,0.0695312183461354,222581.5,0
"hours-per-week",513,-1,0.0576957858564313,39.5,0
"occupation",513,15,0.0539074960128083,29,0
"workclass",513,9,0.0482456140351255,30,0
"age",513,1,0.0431731502669912,52.5,0
"occupation",0,15,0.847953216374269,31,0.025
